lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.7022939920425415,0.542682409286499,0.521964430809021,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5088869333267212,0.0838104858994484,0.6524999737739563,0.5044682621955872,0.5012820363044739,0.44923776388168335,,,,,,,,,
0.001,0.001,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.7093479633331299,0.6020189523696899,0.5817593336105347,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.4996524453163147,0.06532487273216248,0.8575000166893005,0.459785521030426,0.4635135233402252,0.46164199709892273,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.6911936402320862,0.6185128092765808,0.6116845607757568,0.5058430433273315,0.5058430433273315,0.6959162950515747,0.34760981798171997,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.5921953916549683,0.09501039981842041,0.8174999952316284,0.5242279767990112,0.5126661062240601,0.50933438539505,,,,,,,,,
0.001,0.001,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6918017864227295,0.6191704869270325,0.6147536039352417,0.5233722925186157,0.5233722925186157,0.6519203186035156,0.3954964578151703,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.6761990189552307,0.1387883424758911,0.8050000071525574,0.620593786239624,0.5508776307106018,0.5542857050895691,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.7568696737289429,0.6188472509384155,0.6180235147476196,0.5200333595275879,0.5200334191322327,0.6480474472045898,0.3876643776893616,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.7437195777893066,0.1873464733362198,0.8399999737739563,0.6221824884414673,0.5629379749298096,0.574354887008667,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.7051021456718445,0.6197641491889954,0.6215139627456665,0.5851418972015381,0.5851418972015381,0.6036289930343628,0.5657758712768555,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.6939728260040283,0.14197182655334473,0.8349999785423279,0.619501531124115,0.5598191022872925,0.5700606107711792,,,,,,,,,
0.001,0.001,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,0.6874067783355713,0.6264474987983704,0.6275935173034668,0.5792988538742065,0.5792988538742065,0.5794484615325928,0.5791006088256836,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.776983380317688,0.2895403504371643,0.7350000143051147,0.7033065557479858,0.5624713897705078,0.5462134480476379,,,,,,,,,
0.001,0.001,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.7444994449615479,,,,,,,,
,,55,0.689435601234436,0.6394352316856384,0.636630654335022,0.5893155336380005,0.5893155336380005,0.5893315076828003,0.5892972350120544,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.7866150140762329,0.21773825585842133,0.6424999833106995,0.688064694404602,0.5497583150863647,0.4934062957763672,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,0.7284824848175049,0.6486883163452148,0.6431421637535095,0.6118530631065369,0.6118531227111816,0.6203316450119019,0.6048933267593384,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.7932678461074829,0.18446415662765503,0.7300000190734863,0.7521597146987915,0.5745355486869812,0.5569230914115906,,,,,,,,,
0.001,0.001,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.817520260810852,0.6551737189292908,0.6479306221008301,0.5926544070243835,0.5926544070243835,0.6290161609649658,0.5617774128913879,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.7751960754394531,0.1931440681219101,0.8100000023841858,0.7263429164886475,0.5866367816925049,0.5994729995727539,,,,,,,,,
0.001,0.001,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.7036673426628113,0.662935733795166,0.6520482301712036,0.6060100197792053,0.6060100197792053,0.6066389083862305,0.6054282784461975,10,,,,,,,,,,,,,,,
,,76,,,,,,,,10,0.8008142113685608,0.23786860704421997,0.7975000143051147,0.7196405529975891,0.5805652737617493,0.5887020230293274,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,83,0.6665269732475281,0.6820215582847595,0.6648119688034058,0.6252086758613586,0.6252086758613586,0.6252676844596863,0.6251645088195801,11,,,,,,,,,,,,,,,
,,83,,,,,,,,11,0.8202760219573975,0.23712995648384094,0.7400000095367432,0.7918776869773865,0.5862756967544556,0.5733333230018616,,,,,,,,,
0.0001,0.0001,84,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.6680880784988403,0.6836296319961548,0.6661063432693481,0.6277128458023071,0.6277128458023071,0.6283438205718994,0.6272547245025635,12,,,,,,,,,,,,,,,
,,90,,,,,,,,12,0.8417237997055054,0.27935391664505005,0.7300000190734863,0.7865157127380371,0.5832251906394958,0.5657593011856079,,,,,,,,,
0.0001,0.0001,91,,,,,,,,,,,,,,,,,,,,,,,
,,97,0.6743711829185486,0.6853659749031067,0.667244017124176,0.6327211856842041,0.6327211856842041,0.6373531818389893,0.6295983791351318,13,,,,,,,,,,,,,,,
,,97,,,,,,,,13,0.8434118032455444,0.2559671401977539,0.762499988079071,0.8039420247077942,0.5938842296600342,0.5910416841506958,,,,,,,,,
0.0001,0.0001,98,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,14,,,,,,,0.5934575796127319,,,,,,,,
,,104,0.6766965985298157,0.687261164188385,0.6688668131828308,0.6335559487342834,0.6335558891296387,0.640264630317688,0.6291212439537048,14,,,,,,,,,,,,,,,
,,104,,,,,,,,14,0.8160063624382019,0.275107741355896,0.7674999833106995,0.7894449234008789,0.5913793444633484,0.5904482007026672,,,,,,,,,
0.0001,0.0001,105,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.6833189725875854,0.6886993646621704,0.6699473857879639,0.6327211856842041,0.6327211856842041,0.6423781514167786,0.6263860464096069,15,,,,,,,,,,,,,,,
,,111,,,,,,,,15,0.8428159952163696,0.3166104257106781,0.7774999737739563,0.7948068380355835,0.5952701568603516,0.5986968874931335,,,,,,,,,
0.0001,0.0001,112,,,,,,,,,,,,,,,,,,,,,,,
,,118,0.6871353983879089,0.6901039481163025,0.6710573434829712,0.6318864822387695,0.6318864822387695,0.6435884237289429,0.6242305040359497,16,,,,,,,,,,,,,,,
,,118,,,,,,,,16,0.8315956592559814,0.26287758350372314,0.7674999833106995,0.8066229820251465,0.5957341194152832,0.5951196551322937,,,,,,,,,
0.0001,0.0001,119,,,,,,,,,,,,,,,,,,,,,,,
,,125,0.6841437220573425,0.6915950775146484,0.6724746823310852,0.6352253556251526,0.6352254152297974,0.6452003717422485,0.628851056098938,17,,,,,,,,,,,,,,,
,,125,,,,,,,,17,0.8546321392059326,0.24686883389949799,0.7825000286102295,0.7974878549575806,0.5973232984542847,0.6029165387153625,,,,,,,,,
0.0001,0.0001,126,,,,,,,,,,,,,,,,,,,,,,,
,,132,0.6857348084449768,0.6931809186935425,0.6737796068191528,0.6352253556251526,0.6352253556251526,0.6457552313804626,0.6285160779953003,18,,,,,,,,,,,,,,,
,,132,,,,,,,,18,0.8434118032455444,0.2633407711982727,0.7774999737739563,0.7604507803916931,0.5862942337989807,0.5887198448181152,,,,,,,,,
0.0001,0.0001,133,,,,,,,,,,,,,,,,,,,,,,,
,,139,0.6879570484161377,0.6939306259155273,0.6744184494018555,0.6360601186752319,0.6360601186752319,0.6470857858657837,0.6291095018386841,19,,,,,,,,,,,,,,,
,,139,,,,,,,,19,0.81819087266922,0.24727869033813477,0.7875000238418579,0.7658127546310425,0.5904514193534851,0.5970370769500732,,,,,,,,,
0.0001,0.0001,140,,,,,,,,,,,,,,,,,,,,,,,
,,146,0.6884675621986389,0.6949952840805054,0.6756128668785095,0.6360601186752319,0.6360601186752319,0.6470857858657837,0.6291095018386841,20,,,,,,,,,,,,,,,
,,146,,,,,,,,20,0.8564194440841675,0.2803155183792114,0.7850000262260437,0.7988283038139343,0.598378598690033,0.6050516963005066,,,,,,,,,
0.0001,0.0001,147,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,21,,,,,,,0.4210723042488098,,,,,,,,
,,153,0.677392840385437,0.6968346834182739,0.6771296262741089,0.6452420949935913,0.6452420949935913,0.6510031223297119,0.641825795173645,21,,,,,,,,,,,,,,,
,,153,,,,,,,,21,0.8215668201446533,0.21133694052696228,0.7774999737739563,0.7948068380355835,0.5952701568603516,0.5986968874931335,,,,,,,,,
0.0001,0.0001,154,,,,,,,,,,,,,,,,,,,,,,,
,,160,0.6743593811988831,0.6979272365570068,0.6781466603279114,0.6552587747573853,0.6552587747573853,0.6592648029327393,0.653077244758606,22,,,,,,,,,,,,,,,
,,160,,,,,,,,22,0.8528448343276978,0.28059256076812744,0.7799999713897705,0.796147346496582,0.5962873101234436,0.6007984280586243,,,,,,,,,
0.0001,0.0001,161,,,,,,,,,,,,,,,,,,,,,,,
,,167,0.6728440523147583,0.6989724040031433,0.6790266036987305,0.6552587747573853,0.6552587747573853,0.6580071449279785,0.6537531018257141,23,,,,,,,,,,,,,,,
,,167,,,,,,,,23,0.8417237997055054,0.2756662964820862,0.762499988079071,0.821120023727417,0.5981665849685669,0.5955338478088379,,,,,,,,,
1e-05,1e-05,168,,,,,,,,,,,,,,,,,,,,,,,
,,174,0.6726186275482178,0.6991479992866516,0.6791368722915649,0.6552587747573853,0.6552587747573853,0.6580071449279785,0.6537531018257141,24,,,,,,,,,,,,,,,
,,174,,,,,,,,24,0.8253400921821594,0.2460894137620926,0.7599999904632568,0.7854235172271729,0.5886343121528625,0.58441561460495,,,,,,,,,
1e-05,1e-05,175,,,,,,,,,,,,,,,,,,,,,,,
,,181,0.6727522015571594,0.6994127631187439,0.6794446706771851,0.6569282412528992,0.6569281816482544,0.6598511934280396,0.6553527116775513,25,,,,,,,,,,,,,,,
,,181,,,,,,,,25,0.8457948565483093,0.2570927143096924,0.7549999952316284,0.7827425003051758,0.5868802666664124,0.5804615020751953,,,,,,,,,
1e-05,1e-05,182,,,,,,,,,,,,,,,,,,,,,,,
,,188,0.6728296279907227,0.699529767036438,0.6795362234115601,0.6577629446983337,0.6577629446983337,0.660775899887085,0.6561520099639893,26,,,,,,,,,,,,,,,
,,188,,,,,,,,26,0.8658524751663208,0.3470776081085205,0.7825000286102295,0.7974878549575806,0.5973232984542847,0.6029165387153625,,,,,,,,,
1e-05,1e-05,189,,,,,,,,,,,,,,,,,,,,,,,
,,195,0.6728219985961914,0.6996803283691406,0.6797325611114502,0.6577629446983337,0.6577629446983337,0.660775899887085,0.6561520099639893,27,,,,,,,,,,,,,,,
,,195,,,,,,,,27,0.8616820573806763,0.2896033525466919,0.7724999785423279,0.8264819383621216,0.6019344925880432,0.6038267612457275,,,,,,,,,
1e-05,1e-05,196,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,28,,,,,,,0.5499395132064819,,,,,,,,
,,202,0.6732778549194336,0.6998224854469299,0.6798596382141113,0.6577629446983337,0.6577629446983337,0.6609276533126831,0.6560720801353455,28,,,,,,,,,,,,,,,
,,202,,,,,,,,28,0.8301061987876892,0.20244117081165314,0.7599999904632568,0.8026015758514404,0.5929824709892273,0.5890234708786011,,,,,,,,,
1e-05,1e-05,203,,,,,,,,,,,,,,,,,,,,,,,
,,209,0.6734691858291626,0.6999701857566833,0.6799278259277344,0.6560934782028198,0.6560934782028198,0.6593787670135498,0.6543120741844177,29,,,,,,,,,,,,,,,
,,209,,,,,,,,29,0.8589017391204834,0.3123280107975006,0.7749999761581421,0.8278224468231201,0.6029177904129028,0.6059372425079346,,,,,,,,,
1e-05,1e-05,210,,,,,,,,,,,,,,,,,,,,,,,
,,216,0.6736786365509033,0.7001290321350098,0.6800887584686279,0.6552587747573853,0.6552587747573853,0.6586045622825623,0.6534310579299927,30,,,,,,,,,,,,,,,
,,216,,,,,,,,30,0.8186873197555542,0.20219078660011292,0.7724999785423279,0.8093039989471436,0.5976489186286926,0.5992558002471924,,,,,,,,,
1e-05,1e-05,217,,,,,,,,,,,,,,,,,,,,,,,
,,223,0.6734736561775208,0.7002516984939575,0.680242121219635,0.6577629446983337,0.6577629446983337,0.6609276533126831,0.6560720801353455,31,,,,,,,,,,,,,,,
,,223,,,,,,,,31,0.8331843614578247,0.26870155334472656,0.7574999928474426,0.7840830087661743,0.5877499580383301,0.5824320316314697,,,,,,,,,
1e-05,1e-05,224,,,,,,,,,,,,,,,,,,,,,,,
,,230,0.6731950044631958,0.700416088104248,0.680446982383728,0.6594324111938477,0.6594324111938477,0.6624772548675537,0.6578292846679688,32,,,,,,,,,,,,,,,
,,230,,,,,,,,32,0.8500645160675049,0.2990211248397827,0.7699999809265137,0.807963490486145,0.596683144569397,0.5971802473068237,,,,,,,,,
1e-05,1e-05,231,,,,,,,,,,,,,,,,,,,,,,,
,,237,0.6731452941894531,0.7005248069763184,0.6805338859558105,0.6594324111938477,0.6594324111938477,0.6624772548675537,0.6578292846679688,33,,,,,,,,,,,,,,,
,,237,,,,,,,,33,0.8528448343276978,0.27217161655426025,0.7699999809265137,0.807963490486145,0.596683144569397,0.5971802473068237,,,,,,,,,
1e-05,1e-05,238,,,,,,,,,,,,,,,,,,,,,,,
,,244,0.6740134954452515,0.7006390690803528,0.6806539297103882,0.6569282412528992,0.6569281816482544,0.6603100299835205,0.6551092863082886,34,,,,,,,,,,,,,,,
,,244,,,,,,,,34,0.8458941578865051,0.19726434350013733,0.7649999856948853,0.8396385908126831,0.6033040285110474,0.6019647717475891,,,,,,,,,
1e-05,1e-05,245,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,35,,,,,,,0.5409979820251465,,,,,,,,
,,251,0.674886167049408,0.7007519602775574,0.6807436943054199,0.6560934782028198,0.6560934782028198,0.6598646640777588,0.6540533304214478,35,,,,,,,,,,,,,,,
,,251,,,,,,,,35,0.8589017987251282,0.2793210744857788,0.7774999737739563,0.7948068380355835,0.5952701568603516,0.5986968874931335,,,,,,,,,
1.0000000000000002e-06,1.0000000000000002e-06,252,,,,,,,,,,,,,,,,,,,,,,,
,,258,0.6749690175056458,0.7007533311843872,0.6807562112808228,0.6560934782028198,0.6560934782028198,0.6598646640777588,0.6540533304214478,36,,,,,,,,,,,,,,,
,,258,,,,,,,,36,0.8372554779052734,0.23015086352825165,0.7699999809265137,0.7907854318618774,0.5923264026641846,0.5924875736236572,,,,,,,,,
1.0000000000000002e-06,1.0000000000000002e-06,259,,,,,,,,,,,,,,,,,,,,,,,
,,265,0.6750240325927734,0.7007616758346558,0.6807585954666138,0.6560934782028198,0.6560934782028198,0.6598646640777588,0.6540533304214478,37,,,,,,,,,,,,,,,
,,265,,,,,,,,37,0.8428159952163696,0.3200652599334717,0.7774999737739563,0.7948068380355835,0.5952701568603516,0.5986968874931335,,,,,,,,,
1.0000000000000002e-06,1.0000000000000002e-06,266,,,,,,,,,,,,,,,,,,,,,,,
,,272,0.6750650405883789,0.7007728815078735,0.6807677745819092,0.6560934782028198,0.6560934782028198,0.6598646640777588,0.6540533304214478,38,,,,,,,,,,,,,,,
,,272,,,,,,,,38,0.8445039987564087,0.2885202169418335,0.762499988079071,0.8039420247077942,0.5938842296600342,0.5910416841506958,,,,,,,,,
1.0000000000000002e-06,1.0000000000000002e-06,273,,,,,,,,,,,,,,,,,,,,,,,
,,279,0.6750759482383728,0.7007728815078735,0.6807693839073181,0.6560934782028198,0.6560934782028198,0.6598646640777588,0.6540533304214478,39,,,,,,,,,,,,,,,
,,279,,,,,,,,39,0.8280210494995117,0.2126508206129074,0.7699999809265137,0.8251414895057678,0.6009681820869446,0.6017315983772278,,,,,,,,,
1.0000000000000002e-06,1.0000000000000002e-06,280,,,,,,,,,,,,,,,,,,,,,,,
,,286,0.6750696897506714,0.7007756233215332,0.6807698011398315,0.6560934782028198,0.6560934782028198,0.6598646640777588,0.6540533304214478,40,,,,,,,,,,,,,,,
,,286,,,,,,,,40,0.8474829196929932,0.2459287941455841,0.7799999713897705,0.8305034637451172,0.6049370765686035,0.6102055311203003,,,,,,,,,
1.0000000000000002e-06,1.0000000000000002e-06,287,,,,,,,,,,,,,,,,,,,,,,,
