lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6898462772369385,0.6043879389762878,0.6119849681854248,0.5676127076148987,0.5676126480102539,0.5748276710510254,0.5569323897361755,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.4712790250778198,0.0751102864742279,0.3720000088214874,0.4802592992782593,0.4935019612312317,0.3218259811401367,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6966357827186584,0.6570327281951904,0.6673116683959961,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.5109729766845703,0.07940447330474854,0.6800000071525574,0.45921674370765686,0.4844241440296173,0.448367178440094,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.6930937170982361,0.6726959943771362,0.699658989906311,0.505008339881897,0.505008339881897,0.751258373260498,0.3443673849105835,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.6336681246757507,0.11771556735038757,0.7940000295639038,0.5324140787124634,0.5181547403335571,0.5157908797264099,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6964266896247864,0.6720048189163208,0.7046717405319214,0.5517529249191284,0.5517529249191284,0.7290433645248413,0.4441987872123718,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.6800042390823364,0.13007885217666626,0.7900000214576721,0.5191296339035034,0.5107142925262451,0.5063887238502502,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.7383455634117126,0.6715672612190247,0.7071113586425781,0.6051753163337708,0.605175256729126,0.6875671148300171,0.5564682483673096,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.7679473161697388,0.2143448293209076,0.722000002861023,0.6819969415664673,0.5652380585670471,0.5502171516418457,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.9645025134086609,0.6722584962844849,0.7056018710136414,0.6018363833427429,0.6018363833427429,0.6976020932197571,0.546944260597229,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.7650778293609619,0.2158997505903244,0.6259999871253967,0.7296615242958069,0.5704551339149475,0.5103455781936646,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.43128424882888794,,,,,,,,
,,55,1.407748818397522,0.6788275241851807,0.7092757225036621,0.5734557509422302,0.5734557509422302,0.7132776975631714,0.4898427724838257,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.8258143663406372,0.24639560282230377,0.6859999895095825,0.7623412609100342,0.5845319032669067,0.5526326298713684,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,1.5899144411087036,0.6820381879806519,0.711177408695221,0.5776293873786926,0.5776293873786926,0.6992709636688232,0.5015639066696167,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.8344757556915283,0.2549498677253723,0.6639999747276306,0.7947818636894226,0.5917321443557739,0.5471307039260864,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,1.611387848854065,0.6831433176994324,0.7142796516418457,0.581803023815155,0.581803023815155,0.6933836936950684,0.5113106369972229,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.8240607976913452,0.2169938087463379,0.7360000014305115,0.789574384689331,0.5998460650444031,0.5905605554580688,,,,,,,,,
0.001,0.001,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,1.4688653945922852,0.6797611713409424,0.7122822999954224,0.5909850001335144,0.5909849405288696,0.6976107954978943,0.5272083282470703,9,,,,,,,,,,,,,,,
,,79,,,,,,,,9,0.8468037843704224,0.2545161247253418,0.6700000166893005,0.798049807548523,0.593178927898407,0.5515109896659851,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,87,1.5340908765792847,0.680544376373291,0.7124210596084595,0.581803023815155,0.581803023815155,0.7032167315483093,0.5083708763122559,10,,,,,,,,,,,,,,,
,,87,,,,,,,,10,0.8626388311386108,0.2566065788269043,0.7480000257492065,0.8183218836784363,0.6104871034622192,0.606249988079071,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,95,1.6550334692001343,0.6830834150314331,0.7140603065490723,0.5792988538742065,0.5792988538742065,0.7035564184188843,0.5035340189933777,11,,,,,,,,,,,,,,,
,,95,,,,,,,,11,0.8705031871795654,0.330613374710083,0.7260000109672546,0.8174451589584351,0.6058919429779053,0.5913643836975098,,,,,,,,,
0.0001,0.0001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,12,,,,,,,0.4221961200237274,,,,,,,,
,,103,1.6791285276412964,0.6836742162704468,0.7145076990127563,0.5734557509422302,0.5734557509422302,0.7007739543914795,0.4930937588214874,12,,,,,,,,,,,,,,,
,,103,,,,,,,,12,0.8733195066452026,0.3639220595359802,0.7400000095367432,0.8139646053314209,0.6075621843338013,0.5997142791748047,,,,,,,,,
0.0001,0.0001,104,,,,,,,,,,,,,,,,,,,,,,,
,,111,1.70270574092865,0.684238612651825,0.7150113582611084,0.5717862844467163,0.5717863440513611,0.702110767364502,0.48948991298675537,13,,,,,,,,,,,,,,,
,,111,,,,,,,,13,0.8830437064170837,0.3203245997428894,0.7620000243186951,0.8481587767601013,0.6220930218696594,0.6238723993301392,,,,,,,,,
0.0001,0.0001,112,,,,,,,,,,,,,,,,,,,,,,,
,,119,1.7169550657272339,0.6844545602798462,0.7152992486953735,0.5717862844467163,0.5717863440513611,0.702110767364502,0.48948991298675537,14,,,,,,,,,,,,,,,
,,119,,,,,,,,14,0.8587597608566284,0.32152682542800903,0.7519999742507935,0.7871831655502319,0.6025541424751282,0.6003506779670715,,,,,,,,,
0.0001,0.0001,120,,,,,,,,,,,,,,,,,,,,,,,
,,127,1.688650369644165,0.6845995187759399,0.7157856225967407,0.5809682607650757,0.5809682607650757,0.7024424076080322,0.5070152878761292,15,,,,,,,,,,,,,,,
,,127,,,,,,,,15,0.8795897960662842,0.34966546297073364,0.7300000190734863,0.8085179328918457,0.6040949821472168,0.5916984677314758,,,,,,,,,
0.0001,0.0001,128,,,,,,,,,,,,,,,,,,,,,,,
,,135,1.6905947923660278,0.685042679309845,0.7162706851959229,0.581803023815155,0.5818029642105103,0.7058621644973755,0.5076223611831665,16,,,,,,,,,,,,,,,
,,135,,,,,,,,16,0.878261387348175,0.38044774532318115,0.7379999756813049,0.8239810466766357,0.6099668145179749,0.6009771823883057,,,,,,,,,
0.0001,0.0001,136,,,,,,,,,,,,,,,,,,,,,,,
,,143,1.70260488986969,0.685247540473938,0.7164655923843384,0.5792988538742065,0.5792988538742065,0.7035564184188843,0.5035340189933777,17,,,,,,,,,,,,,,,
,,143,,,,,,,,17,0.8879855275154114,0.4282066822052002,0.7419999837875366,0.8261597156524658,0.6113893389701843,0.6042337417602539,,,,,,,,,
