lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.6933678388595581,0.4603387415409088,0.47881269454956055,0.5008347034454346,0.5008347034454346,0.750208854675293,0.33518558740615845,0,,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.37758538126945496,0.044639475643634796,0.23499999940395355,0.4668109714984894,0.48960214853286743,0.21616844832897186,,,,,,,,,
0.001,0.001,4,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6933684945106506,0.4654209613800049,0.4901789724826813,0.5016694664955139,0.5016694664955139,0.7504180669784546,0.3370325267314911,1,,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.4660894572734833,0.05408237874507904,0.35499998927116394,0.48749399185180664,0.49710339307785034,0.2979782819747925,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.6932521462440491,0.4730783700942993,0.4973265826702118,0.4841402471065521,0.4841402471065521,0.47204577922821045,0.4215761721134186,2,,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.44107747077941895,0.052575916051864624,0.41999998688697815,0.4362674355506897,0.48644500970840454,0.3280037045478821,,,,,,,,,
0.001,0.001,12,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6954803466796875,0.49352288246154785,0.5118050575256348,0.5,0.5,0.5,0.33917784690856934,3,,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.6719576716423035,0.12419427186250687,0.7850000262260437,0.6293891072273254,0.5405364632606506,0.5323799848556519,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.7089718580245972,0.5262192487716675,0.5342787504196167,0.5,0.5,nan,0.3333333432674408,4,,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.4843674600124359,0.05856471508741379,0.9150000214576721,0.4841269850730896,0.47164949774742126,0.47780677676200867,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.725464940071106,0.5539170503616333,0.5559005737304688,0.5,0.5,nan,0.3333333432674408,5,,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.5897065997123718,0.1903897523880005,0.949999988079071,0.5454545617103577,0.9748743772506714,0.5704467296600342,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.7213379144668579,0.563252329826355,0.5676535367965698,0.5,0.5,nan,0.3333333432674408,6,,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.542568564414978,0.18220552802085876,0.9449999928474426,0.5428090691566467,0.7247474789619446,0.5627111792564392,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.7248912453651428,0.5642668008804321,0.5673501491546631,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,7,,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.7104376554489136,0.13532069325447083,0.9350000023841858,0.49470898509025574,0.4722222089767456,0.4832041263580322,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,35,0.7305524349212646,0.5656951665878296,0.5645920634269714,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,8,,,,,,,,,,,,,,,
,,35,,,,,,,,8,0.6551226377487183,0.0967109203338623,0.9300000071525574,0.4920634925365448,0.4720812141895294,0.4818652868270874,,,,,,,,,
0.001,0.001,36,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.7445301413536072,0.565753698348999,0.5635705590248108,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,9,,,,,,,,,,,,,,,
,,39,,,,,,,,9,0.7003366947174072,0.2914576530456543,0.949999988079071,0.5882636308670044,0.8104907274246216,0.6299037933349609,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.7524480223655701,0.5686243772506714,0.5640994310379028,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,10,,,,,,,,,,,,,,,
,,43,,,,,,,,10,0.6806157231330872,0.08668408542871475,0.9399999976158142,0.49735450744628906,0.47236180305480957,0.4845360815525055,,,,,,,,,
0.001,0.001,44,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.7722129225730896,0.570795476436615,0.5642549991607666,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,11,,,,,,,,,,,,,,,
,,47,,,,,,,,11,0.7272727489471436,0.18648888170719147,0.9449999928474426,0.5428090691566467,0.7247474789619446,0.5627111792564392,,,,,,,,,
0.0001,0.0001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,12,,,,,,,0.7459506988525391,,,,,,,,
,,51,0.7690336108207703,0.5708178281784058,0.5646926164627075,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,12,,,,,,,,,,,,,,,
,,51,,,,,,,,12,0.7739297747612,0.2149093747138977,0.949999988079071,0.5454545617103577,0.9748743772506714,0.5704467296600342,,,,,,,,,
0.0001,0.0001,52,,,,,,,,,,,,,,,,,,,,,,,
