lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6900142431259155,0.6282103657722473,0.6189044117927551,0.5258764624595642,0.5258764624595642,0.5837973952293396,0.4268328547477722,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.4673015773296356,0.054399244487285614,0.7829999923706055,0.4827801585197449,0.4938831031322479,0.47293126583099365,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6877702474594116,0.6648128032684326,0.6673610210418701,0.5809682607650757,0.5809682607650757,0.6427136659622192,0.5301476120948792,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.5342761278152466,0.06058617681264877,0.6340000033378601,0.5152477025985718,0.5034699440002441,0.4365208148956299,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6919848918914795,0.6809456944465637,0.6941117644309998,0.5008347034454346,0.5008347034454346,0.750208854675293,0.33518558740615845,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.5196728706359863,0.06071684882044792,0.5479999780654907,0.5211158990859985,0.5044325590133667,0.402087926864624,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6962044835090637,,,,,,,,
,,63,0.7005281448364258,0.6918988227844238,0.7195501923561096,0.5,0.5,nan,0.3333333432674408,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.5355074405670166,0.07496032118797302,0.722000002861023,0.49331408739089966,0.49814170598983765,0.46080559492111206,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.7257192730903625,0.6869992017745972,0.7207779884338379,0.5567612648010254,0.5567612648010254,0.733127236366272,0.4533783793449402,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.6871380805969238,0.15672336518764496,0.8790000081062317,0.5678210854530334,0.5430402755737305,0.5501440763473511,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.7350868582725525,0.6904412508010864,0.7200309634208679,0.6202003359794617,0.6202003359794617,0.6205230951309204,0.6199458837509155,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.7261567711830139,0.14047911763191223,0.8069999814033508,0.6667147874832153,0.5554155707359314,0.5573384165763855,,,,,,,,,
0.001,0.001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.7016268968582153,,,,,,,,
,,111,0.7686642408370972,0.6915866732597351,0.721998393535614,0.6477462649345398,0.6477462649345398,0.6684503555297852,0.6365792751312256,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.629860520362854,0.09090085327625275,0.1809999942779541,0.549543023109436,0.5227674841880798,0.17636707425117493,,,,,,,,,
0.001,0.001,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,1.1634045839309692,0.7023851871490479,0.7317454814910889,0.5934891700744629,0.5934891700744629,0.7383876442909241,0.5206484198570251,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.7176527976989746,0.15430982410907745,0.6779999732971191,0.6498316526412964,0.5349568128585815,0.4871794879436493,,,,,,,,,
0.001,0.001,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,1.492599606513977,0.7283898591995239,0.7508394718170166,0.5509182214736938,0.5509182214736938,0.7480752468109131,0.4395677149295807,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.782202959060669,0.24918332695960999,0.6940000057220459,0.7182298898696899,0.5510668158531189,0.5107569694519043,,,,,,,,,
0.001,0.001,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.5559506416320801,,,,,,,,
