lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.6932939887046814,0.5720037221908569,0.5660814046859741,0.49916526675224304,0.49916529655456543,0.41645747423171997,0.3344370424747467,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.4558052122592926,0.05860016122460365,0.7412499785423279,0.485859751701355,0.4949714243412018,0.46867048740386963,,,,,,,,,
0.001,0.001,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6901446580886841,0.6354399919509888,0.6220980286598206,0.5550917983055115,0.5550917983055115,0.6165671944618225,0.48752427101135254,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.5392071008682251,0.08322803676128387,0.8199999928474426,0.5458658933639526,0.5224843621253967,0.5211492776870728,,,,,,,,,
0.001,0.001,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.6909251809120178,0.6472919583320618,0.6384781002998352,0.5033388733863831,0.5033388733863831,0.6675056219100952,0.34215614199638367,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.5406982898712158,0.07790685445070267,0.8687499761581421,0.5003599524497986,0.5003105998039246,0.5000922679901123,,,,,,,,,
0.001,0.001,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6906908750534058,,,,,,,,
,,51,0.6812805533409119,0.6629859209060669,0.6505781412124634,0.5484140515327454,0.5484140515327454,0.6057144403457642,0.47762876749038696,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.47261929512023926,0.06894123554229736,0.6912500262260437,0.48596256971359253,0.49573299288749695,0.45455196499824524,,,,,,,,,
0.001,0.001,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.6755373477935791,0.666985273361206,0.649701714515686,0.600166916847229,0.600166916847229,0.6412336230278015,0.568823516368866,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.6343839764595032,0.16338789463043213,0.831250011920929,0.5876696705818176,0.5432878732681274,0.5487043857574463,,,,,,,,,
0.001,0.001,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.6539357304573059,0.6715044975280762,0.6576131582260132,0.6143572330474854,0.6143572330474854,0.6203817129135132,0.609471321105957,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.6617647409439087,0.1880919635295868,0.8050000071525574,0.6452077627182007,0.5573424100875854,0.5617731213569641,,,,,,,,,
0.001,0.001,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.6400408744812012,0.7013553380966187,0.6747318506240845,0.6577629446983337,0.657762885093689,0.6584004163742065,0.6574182510375977,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.6614818572998047,0.12648864090442657,0.5525000095367432,0.644385039806366,0.53515625,0.435669481754303,,,,,,,,,
0.001,0.001,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.5666472315788269,,,,,,,,
,,103,0.6369223594665527,0.7057003378868103,0.6816254258155823,0.6485809683799744,0.6485809683799744,0.6562858819961548,0.6441956758499146,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.6960613131523132,0.13636377453804016,0.6725000143051147,0.6638214588165283,0.5439096689224243,0.49988070130348206,,,,,,,,,
0.001,0.001,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,0.617416501045227,0.7302794456481934,0.7121562957763672,0.6644407510757446,0.6644407510757446,0.6689633727073669,0.6621801257133484,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.7291238307952881,0.16493064165115356,0.7425000071525574,0.7012546062469482,0.5610056519508362,0.5464103817939758,,,,,,,,,
0.001,0.001,117,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.6151347160339355,0.7541840672492981,0.7341741323471069,0.6777963042259216,0.6777963638305664,0.6929762363433838,0.6713329553604126,9,,,,,,,,,,,,,,,
,,129,,,,,,,,9,0.7703619599342346,0.19902224838733673,0.7137500047683716,0.7037742137908936,0.5577700734138489,0.5314565896987915,,,,,,,,,
0.001,0.001,130,,,,,,,,,,,,,,,,,,,,,,,
,,142,0.6071977615356445,0.7588998079299927,0.7439323663711548,0.6744574308395386,0.6744574308395386,0.68935227394104,0.6679270267486572,10,,,,,,,,,,,,,,,
,,142,,,,,,,,10,0.7593325972557068,0.17970965802669525,0.7799999713897705,0.7213081121444702,0.5737390518188477,0.574447512626648,,,,,,,,,
0.001,0.001,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,11,,,,,,,0.8595980405807495,,,,,,,,
,,155,0.5906221270561218,0.7707643508911133,0.7522158622741699,0.7045075297355652,0.7045074701309204,0.7060604095458984,0.7039496898651123,11,,,,,,,,,,,,,,,
,,155,,,,,,,,11,0.7541393041610718,0.16615578532218933,0.675000011920929,0.7009460926055908,0.5533354878425598,0.5102471113204956,,,,,,,,,
0.0001,0.0001,156,,,,,,,,,,,,,,,,,,,,,,,
,,168,0.601787805557251,0.7713356018066406,0.7524537444114685,0.7020033597946167,0.7020033597946167,0.7076761722564697,0.6999543309211731,12,,,,,,,,,,,,,,,
,,168,,,,,,,,12,0.7975627183914185,0.195740208029747,0.7537500262260437,0.7162176370620728,0.5668654441833496,0.5571926832199097,,,,,,,,,
0.0001,0.0001,169,,,,,,,,,,,,,,,,,,,,,,,
,,181,0.5951315760612488,0.7696996331214905,0.7506800293922424,0.7061769366264343,0.7061769962310791,0.7085578441619873,0.7053359746932983,13,,,,,,,,,,,,,,,
,,181,,,,,,,,13,0.797922670841217,0.20957520604133606,0.762499988079071,0.7208967208862305,0.5697765350341797,0.5637198686599731,,,,,,,,,
0.0001,0.0001,182,,,,,,,,,,,,,,,,,,,,,,,
,,194,0.5926553606987,0.7689415812492371,0.7500330209732056,0.7086811065673828,0.7086811065673828,0.7096633911132812,0.708339512348175,14,,,,,,,,,,,,,,,
,,194,,,,,,,,14,0.8010078072547913,0.1854621320962906,0.7574999928474426,0.7450637817382812,0.575128436088562,0.5678083896636963,,,,,,,,,
0.0001,0.0001,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,15,,,,,,,0.6834200620651245,,,,,,,,
,,207,0.5978367328643799,0.7684928178787231,0.749748945236206,0.7078464031219482,0.7078464031219482,0.7093048095703125,0.7073366045951843,15,,,,,,,,,,,,,,,
,,207,,,,,,,,15,0.8164849281311035,0.2332758605480194,0.7362499833106995,0.733700156211853,0.5684616565704346,0.5520538091659546,,,,,,,,,
0.0001,0.0001,208,,,,,,,,,,,,,,,,,,,,,,,
,,220,0.5955898761749268,0.767745852470398,0.7490239143371582,0.7045075297355652,0.7045075297355652,0.7047357559204102,0.7044250965118408,16,,,,,,,,,,,,,,,
,,220,,,,,,,,16,0.7918552160263062,0.20434615015983582,0.7099999785423279,0.7196626663208008,0.5613510608673096,0.5335933566093445,,,,,,,,,
0.0001,0.0001,221,,,,,,,,,,,,,,,,,,,,,,,
,,233,0.597361147403717,0.768133282661438,0.7491834163665771,0.7086811065673828,0.7086811065673828,0.7097620964050293,0.7083053588867188,17,,,,,,,,,,,,,,,
,,233,,,,,,,,17,0.7957887649536133,0.23415201902389526,0.7149999737739563,0.72233647108078,0.5626230835914612,0.5370370149612427,,,,,,,,,
0.0001,0.0001,234,,,,,,,,,,,,,,,,,,,,,,,
,,246,0.5975630879402161,0.7679466009140015,0.7489843368530273,0.7103505730628967,0.7103506326675415,0.7113407254219055,0.7100108861923218,18,,,,,,,,,,,,,,,
,,246,,,,,,,,18,0.7662484645843506,0.18231728672981262,0.7149999737739563,0.7044426202774048,0.5580878853797913,0.5323076844215393,,,,,,,,,
0.0001,0.0001,247,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,19,,,,,,,0.5470333695411682,,,,,,,,
,,259,0.5998772382736206,0.7679716348648071,0.7489798665046692,0.7103505730628967,0.7103506326675415,0.7117676734924316,0.7098652124404907,19,,,,,,,,,,,,,,,
,,259,,,,,,,,19,0.8139654397964478,0.23501047492027283,0.7174999713897705,0.7236733436584473,0.5632727146148682,0.5387707948684692,,,,,,,,,
0.0001,0.0001,260,,,,,,,,,,,,,,,,,,,,,,,
,,272,0.6096639633178711,0.7685987949371338,0.7494500875473022,0.7070116996765137,0.7070116996765137,0.7106761932373047,0.7057321071624756,20,,,,,,,,,,,,,,,
,,272,,,,,,,,20,0.8143768310546875,0.22798654437065125,0.7475000023841858,0.748663067817688,0.5741627216339111,0.5627706050872803,,,,,,,,,
0.0001,0.0001,273,,,,,,,,,,,,,,,,,,,,,,,
,,285,0.6081778407096863,0.7678741216659546,0.7489290833473206,0.7120200395584106,0.7120200395584106,0.7145463824272156,0.7111697793006897,21,,,,,,,,,,,,,,,
,,285,,,,,,,,21,0.8008792400360107,0.17474177479743958,0.7562500238418579,0.71755450963974,0.567679226398468,0.5590417385101318,,,,,,,,,
0.0001,0.0001,286,,,,,,,,,,,,,,,,,,,,,,,
,,298,0.6031230688095093,0.7675089836120605,0.7485007047653198,0.7095158696174622,0.7095158100128174,0.7098527550697327,0.7093992233276367,22,,,,,,,,,,,,,,,
,,298,,,,,,,,22,0.8016505241394043,0.2241639792919159,0.7325000166893005,0.7138009071350098,0.5627887845039368,0.5444433689117432,,,,,,,,,
0.0001,0.0001,299,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,23,,,,,,,0.6715840101242065,,,,,,,,
,,311,0.6067020297050476,0.7683200240135193,0.7492022514343262,0.7103505730628967,0.7103506326675415,0.7117676734924316,0.7098652124404907,23,,,,,,,,,,,,,,,
,,311,,,,,,,,23,0.8327333927154541,0.2296747863292694,0.7262499928474426,0.773087203502655,0.576753556728363,0.5564275979995728,,,,,,,,,
1e-05,1e-05,312,,,,,,,,,,,,,,,,,,,,,,,
,,324,0.6070054173469543,0.7683562636375427,0.7492108345031738,0.7111853361129761,0.7111853361129761,0.7126671075820923,0.7106813192367554,24,,,,,,,,,,,,,,,
,,324,,,,,,,,24,0.8027560710906982,0.18843324482440948,0.7300000190734863,0.7124639749526978,0.562086820602417,0.5426828861236572,,,,,,,,,
1e-05,1e-05,325,,,,,,,,,,,,,,,,,,,,,,,
