lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.7033273577690125,0.5431241989135742,0.5465826988220215,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.5045351386070251,0.02319573052227497,0.903333306312561,0.46088436245918274,0.4891696870326996,0.4746059477329254,,,,,,,,,
0.001,0.001,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.7204142212867737,0.5472810864448547,0.5464035272598267,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.6876417398452759,0.04190902039408684,0.9700000286102295,0.4948979616165161,0.4898989796638489,0.49238577485084534,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.7266966104507446,0.5661578178405762,0.5650206804275513,0.5,0.5,nan,0.3333333432674408,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.4625850319862366,0.020443923771381378,0.9800000190734863,0.5,nan,0.49494948983192444,,,,,,,,,
0.001,0.001,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.7180271148681641,0.5826502442359924,0.583202600479126,0.5,0.5,nan,0.3333333432674408,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.6196145415306091,0.042067162692546844,0.9766666889190674,0.49829933047294617,0.4899665415287018,0.4940977990627289,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,0.7090139985084534,0.5818043947219849,0.5852276086807251,0.5,0.5,nan,0.3333333432674408,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.65816330909729,0.03954678773880005,0.9733333587646484,0.49659863114356995,0.4899328947067261,0.4932432472705841,,,,,,,,,
0.001,0.001,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6991104483604431,0.5764977931976318,0.5863077640533447,0.5058430433273315,0.5058431029319763,0.6360921859741211,0.35042059421539307,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.7080498933792114,0.04337460547685623,0.9566666483879089,0.488095223903656,0.489761084318161,0.4889267385005951,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.7208831906318665,0.5787079930305481,0.591742753982544,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.8883219957351685,0.10727713257074356,0.9666666388511658,0.4931972920894623,0.48986485600471497,0.49152541160583496,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.7129336595535278,0.5843963623046875,0.5984085202217102,0.5367279052734375,0.5367279052734375,0.6440029740333557,0.43070346117019653,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.8231292366981506,0.14433760941028595,0.9733333587646484,0.5782312750816345,0.6165540218353271,0.5932203531265259,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.7128210067749023,0.5839588642120361,0.5977810621261597,0.5634390711784363,0.5634390711784363,0.5820027589797974,0.5372498035430908,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.8883219957351685,0.10347659885883331,0.9066666960716248,0.6258503198623657,0.5311622619628906,0.5378521084785461,,,,,,,,,
0.001,0.001,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.4882846474647522,,,,,,,,
,,49,0.7603102922439575,0.583317756652832,0.5967707633972168,0.5634390711784363,0.5634390711784363,0.5783060789108276,0.5416854619979858,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.8554421663284302,0.1079748123884201,0.8733333349227905,0.6904761791229248,0.5337485074996948,0.5340091586112976,,,,,,,,,
0.001,0.001,50,,,,,,,,,,,,,,,,,,,,,,,
,,54,0.9275664687156677,0.5837162733078003,0.5960497856140137,0.5592654347419739,0.5592654347419739,0.5991809368133545,0.5099612474441528,10,,,,,,,,,,,,,,,
,,54,,,,,,,,10,0.8792517185211182,0.16746751964092255,0.903333306312561,0.7057822942733765,0.5461890697479248,0.5600506067276001,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.8957486748695374,0.585452675819397,0.5974426865577698,0.5626043677330017,0.5626043081283569,0.5655998587608337,0.5575534701347351,11,,,,,,,,,,,,,,,
,,59,,,,,,,,11,0.8803855180740356,0.09979567676782608,0.8999999761581421,0.704081654548645,0.5444444417953491,0.5567376017570496,,,,,,,,,
0.0001,0.0001,60,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.8991186618804932,0.5857648253440857,0.5977704524993896,0.5717862844467163,0.5717862844467163,0.5742447376251221,0.5682118535041809,12,,,,,,,,,,,,,,,
,,64,,,,,,,,12,0.8803854584693909,0.12134355306625366,0.8299999833106995,0.8316326141357422,0.5434137582778931,0.53465735912323,,,,,,,,,
0.0001,0.0001,65,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.9133221507072449,0.5862274765968323,0.5983096361160278,0.5659432411193848,0.5659432411193848,0.568895697593689,0.5612425804138184,13,,,,,,,,,,,,,,,
,,69,,,,,,,,13,0.9223356246948242,0.22417229413986206,0.79666668176651,0.8962584733963013,0.5447761416435242,0.5243170261383057,,,,,,,,,
0.0001,0.0001,70,,,,,,,,,,,,,,,,,,,,,,,
,,74,0.9327348470687866,0.5868210792541504,0.5987945795059204,0.5701168775558472,0.5701168775558472,0.5744813084602356,0.5637257099151611,14,,,,,,,,,,,,,,,
,,74,,,,,,,,14,0.9024943113327026,0.11542277783155441,0.8066666722297668,0.819727897644043,0.5382217168807983,0.5190181136131287,,,,,,,,,
0.0001,0.0001,75,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.9514554738998413,0.5874676704406738,0.5996719598770142,0.5684474110603333,0.5684474110603333,0.5734964609146118,0.560906171798706,15,,,,,,,,,,,,,,,
,,79,,,,,,,,15,0.9075963497161865,0.11696387827396393,0.8066666722297668,0.9013605117797852,0.546875,0.5309973359107971,,,,,,,,,
0.0001,0.0001,80,,,,,,,,,,,,,,,,,,,,,,,
,,84,0.9725915193557739,0.5880948305130005,0.6001266837120056,0.5692821145057678,0.5692821145057678,0.5761593580245972,0.5593340396881104,16,,,,,,,,,,,,,,,
,,84,,,,,,,,16,0.8883219957351685,0.1376286894083023,0.8266666531562805,0.7482993602752686,0.532971978187561,0.5185185074806213,,,,,,,,,
0.0001,0.0001,85,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.9909417033195496,0.5885546207427979,0.6004990935325623,0.5667779445648193,0.5667779445648193,0.5748769044876099,0.5547377467155457,17,,,,,,,,,,,,,,,
,,89,,,,,,,,17,0.9058957099914551,0.11867284774780273,0.8299999833106995,0.9132653474807739,0.5526315569877625,0.5477520823478699,,,,,,,,,
0.0001,0.0001,90,,,,,,,,,,,,,,,,,,,,,,,
,,94,1.0039913654327393,0.5890368223190308,0.6008200645446777,0.5667779445648193,0.5667779445648193,0.5752512216567993,0.5542294979095459,18,,,,,,,,,,,,,,,
,,94,,,,,,,,18,0.9314059019088745,0.15762409567832947,0.8666666746139526,0.8503401279449463,0.5548650622367859,0.5636363625526428,,,,,,,,,
0.0001,0.0001,95,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,19,,,,,,,0.26756227016448975,,,,,,,,
,,99,1.011376142501831,0.5895301103591919,0.6011497974395752,0.5684474110603333,0.5684474110603333,0.5760152339935303,0.5574322938919067,19,,,,,,,,,,,,,,,
,,99,,,,,,,,19,0.90816330909729,0.12369057536125183,0.8733333349227905,0.8537415266036987,0.5575858354568481,0.5697463750839233,,,,,,,,,
0.0001,0.0001,100,,,,,,,,,,,,,,,,,,,,,,,
,,104,1.0192023515701294,0.5899342894554138,0.6014284491539001,0.5701168775558472,0.5701168775558472,0.5771623253822327,0.5600748062133789,20,,,,,,,,,,,,,,,
,,104,,,,,,,,20,0.930272102355957,0.29064229130744934,0.8299999833106995,0.9132653474807739,0.5526315569877625,0.5477520823478699,,,,,,,,,
0.0001,0.0001,105,,,,,,,,,,,,,,,,,,,,,,,
,,109,1.037270426750183,0.5902575254440308,0.6016485095024109,0.5676127076148987,0.5676127076148987,0.5751764178276062,0.5564560890197754,21,,,,,,,,,,,,,,,
,,109,,,,,,,,21,0.9212018251419067,0.14366281032562256,0.8633333444595337,0.930272102355957,0.563829779624939,0.5757304430007935,,,,,,,,,
