lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.701339066028595,0.6258482933044434,0.6174633502960205,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.4246699810028076,0.04779475927352905,0.875,0.4915023148059845,0.4937607944011688,0.4918641746044159,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6995576620101929,0.6520940661430359,0.6409200429916382,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.6140238046646118,0.1131439357995987,0.8816666603088379,0.5235689878463745,0.5173049569129944,0.5189647674560547,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6921746134757996,0.6562746167182922,0.6516385078430176,0.5008347034454346,0.5008347034454346,0.750208854675293,0.33518558740615845,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.5336433053016663,0.06884048879146576,0.7116666436195374,0.547779381275177,0.5125027894973755,0.47467243671417236,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6878423690795898,0.6710196137428284,0.6632715463638306,0.5250417590141296,0.5250417590141296,0.6454448699951172,0.4010941982269287,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.49938541650772095,0.057392437011003494,0.7250000238418579,0.4834856390953064,0.49533823132514954,0.4583030343055725,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.7250683903694153,,,,,,,,
,,49,0.6817702054977417,0.6752712726593018,0.6604518890380859,0.6335559487342834,0.6335558891296387,0.6349555253982544,0.6326034069061279,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.6020790338516235,0.08851025253534317,0.5299999713897705,0.5800865888595581,0.516664981842041,0.4038558900356293,,,,,,,,,
0.001,0.001,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.7057216167449951,0.6716285347938538,0.6577563285827637,0.5025041699409485,0.5025041699409485,0.7506276369094849,0.33887413144111633,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.6449682116508484,0.09730112552642822,0.7633333206176758,0.6036555767059326,0.5305765271186829,0.5134209394454956,,,,,,,,,
