lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.7300950884819031,0.610615611076355,0.5981548428535461,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.48408639430999756,0.023805920034646988,0.6949999928474426,0.49119067192077637,0.49906837940216064,0.429046094417572,,,,,,,,,
0.001,0.001,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.7062399983406067,0.6545355319976807,0.6462767124176025,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.5468172430992126,0.029120605438947678,0.9662500023841858,0.4942455291748047,0.4886220097541809,0.49141767621040344,,,,,,,,,
0.001,0.001,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.698672890663147,0.6942483186721802,0.691868782043457,0.5,0.5,nan,0.3333333432674408,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.5618073344230652,0.02697274088859558,0.9674999713897705,0.4948849081993103,0.4886363744735718,0.49174079298973083,,,,,,,,,
0.001,0.001,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6526673436164856,,,,,,,,
,,51,0.6746398210525513,0.7045618891716003,0.7186323404312134,0.5784640908241272,0.5784640908241272,0.6854904890060425,0.5074089169502258,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.7468030452728271,0.057039327919483185,0.9362499713897705,0.5331770777702332,0.5165420770645142,0.5198587775230408,,,,,,,,,
0.001,0.001,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.7022549510002136,0.7150259017944336,0.7346491813659668,0.5467445850372314,0.5467445850372314,0.7381303906440735,0.43277454376220703,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.6693663001060486,0.0750570148229599,0.9737499952316284,0.5252202153205872,0.5893082022666931,0.5368200540542603,,,,,,,,,
0.001,0.001,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.6446145176887512,0.7319043278694153,0.7508304119110107,0.6585976481437683,0.6585976481437683,0.6986628770828247,0.6404707431793213,5,,,,,,,,,,,,,,,
