lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.7146124243736267,0.591414213180542,0.5808663368225098,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.5144228339195251,0.03237555921077728,0.7477777600288391,0.5011428594589233,0.5001702904701233,0.4523948132991791,,,,,,,,,
0.001,0.001,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.7342929244041443,0.6132870316505432,0.6037186980247498,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.47913140058517456,0.029824180528521538,0.9599999785423279,0.49371427297592163,0.48593926429748535,0.4897959232330322,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.7556379437446594,0.6385127305984497,0.6338649988174438,0.5,0.5,nan,0.3333333432674408,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.5270400047302246,0.03077882155776024,0.9711111187934875,0.49942857027053833,0.486095666885376,0.492671936750412,,,,,,,,,
0.001,0.001,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6871837377548218,,,,,,,,
,,59,0.6799882054328918,0.6516481041908264,0.6589747071266174,0.595158576965332,0.595158576965332,0.6440632939338684,0.5576148629188538,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.5957028269767761,0.04571332037448883,0.945555567741394,0.5251428484916687,0.522526204586029,0.5237118005752563,,,,,,,,,
0.001,0.001,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,0.6865558624267578,0.6551152467727661,0.6690855026245117,0.596828043460846,0.596828043460846,0.6674474477767944,0.5493093729019165,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.7610514163970947,0.10893606394529343,0.8633333444595337,0.6577142477035522,0.5368589758872986,0.5387019515037537,,,,,,,,,
0.001,0.001,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.7349804043769836,0.6796023845672607,0.6879370808601379,0.5893155336380005,0.5893155336380005,0.6695070862770081,0.5342278480529785,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.7137371301651001,0.08367249369621277,0.8644444346427917,0.6582857370376587,0.5372556447982788,0.5395531058311462,,,,,,,,,
0.001,0.001,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.7905062437057495,,,,,,,,
,,104,0.6478486657142639,0.7095270156860352,0.7103457450866699,0.6552587747573853,0.6552587747573853,0.6581506729125977,0.6536755561828613,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.7461485862731934,0.13798083364963531,0.9088888764381409,0.6811428666114807,0.5610940456390381,0.581594705581665,,,,,,,,,
0.001,0.001,105,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.6459154486656189,0.7484761476516724,0.7409666776657104,0.6502504348754883,0.6502504348754883,0.6775832176208496,0.6362538933753967,7,,,,,,,,,,,,,,,
,,119,,,,,,,,7,0.771794319152832,0.13256075978279114,0.6100000143051147,0.663428544998169,0.5183563232421875,0.4223077893257141,,,,,,,,,
