lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6849783658981323,0.611357569694519,0.4804026484489441,0.6124744415283203,0.5,nan,0.3798351287841797,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.4339600205421448,0.08838673681020737,0.7409999966621399,0.4517160654067993,0.46896132826805115,0.4573313593864441,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6853221654891968,0.6386590003967285,0.5185085535049438,0.6124744415283203,0.5,nan,0.3798351287841797,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.48890042304992676,0.10866911709308624,0.7080000042915344,0.5063696503639221,0.5032172799110413,0.48741716146469116,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6829828023910522,0.6942309141159058,0.5460506081581116,0.6145194172859192,0.5031230449676514,0.6819815635681152,0.38799816370010376,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.5353118181228638,0.12696091830730438,0.6460000276565552,0.5276704430580139,0.5115805268287659,0.47739511728286743,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6840388178825378,,,,,,,,
,,63,0.6747990250587463,0.724571704864502,0.5834194421768188,0.6196318864822388,0.5106884241104126,0.6934236884117126,0.40658435225486755,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.5186761021614075,0.12722942233085632,0.7580000162124634,0.5213494896888733,0.5130823850631714,0.5091835260391235,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.6761978268623352,0.7531285881996155,0.620465099811554,0.6871165633201599,0.6869144439697266,0.6787750124931335,0.67937171459198,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.5441005825996399,0.11694417148828506,0.7940000295639038,0.5199316143989563,0.5153869986534119,0.5157908797264099,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.6342001557350159,0.782967209815979,0.6722837686538696,0.6676891446113586,0.5852916240692139,0.6996350288391113,0.5581212639808655,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.6459935903549194,0.1629433035850525,0.7670000195503235,0.5564448833465576,0.5338855981826782,0.5341407060623169,,,,,,,,,
0.001,0.001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.6608625054359436,,,,,,,,
,,111,0.5568955540657043,0.7913893461227417,0.6999286413192749,0.7361963391304016,0.695970892906189,0.7322035431861877,0.702763557434082,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.6972432136535645,0.22101140022277832,0.7440000176429749,0.6080787181854248,0.5542834401130676,0.5526696443557739,,,,,,,,,
0.001,0.001,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.5833795070648193,0.7851256132125854,0.6933358907699585,0.7218813896179199,0.6716867685317993,0.7245384454727173,0.6765873432159424,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.7261313199996948,0.2435155212879181,0.6309999823570251,0.6654057502746582,0.5630820393562317,0.5175051689147949,,,,,,,,,
0.001,0.001,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.5440609455108643,0.7929927110671997,0.6929177641868591,0.7280163764953613,0.7275714874267578,0.7185270190238953,0.7203431129455566,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.7581257820129395,0.26523590087890625,0.6959999799728394,0.6930437088012695,0.5791454315185547,0.5613807439804077,,,,,,,,,
0.001,0.001,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.48449018597602844,,,,,,,,
,,159,0.5531337261199951,0.795996904373169,0.6978222131729126,0.7075664401054382,0.7157223224639893,0.704929769039154,0.7029439210891724,9,,,,,,,,,,,,,,,
,,159,,,,,,,,9,0.7491964101791382,0.24402159452438354,0.6990000009536743,0.6818250417709351,0.5755200982093811,0.5593172311782837,,,,,,,,,
0.001,0.001,160,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.5566416382789612,0.7950541973114014,0.6983084678649902,0.7044990062713623,0.7151563167572021,0.7042698264122009,0.7006428241729736,10,,,,,,,,,,,,,,,
,,175,,,,,,,,10,0.7751836776733398,0.2795667052268982,0.7540000081062317,0.6867010593414307,0.5881376266479492,0.5921074151992798,,,,,,,,,
0.001,0.001,176,,,,,,,,,,,,,,,,,,,,,,,
,,191,0.5714454650878906,0.7954154014587402,0.7019022703170776,0.7392638325691223,0.7028358578681946,0.7326690554618835,0.7095099687576294,11,,,,,,,,,,,,,,,
,,191,,,,,,,,11,0.7742853760719299,0.2601475119590759,0.5899999737739563,0.7027091383934021,0.5750223398208618,0.5041985511779785,,,,,,,,,
0.0001,0.0001,192,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,12,,,,,,,0.49343588948249817,,,,,,,,
,,207,0.5559258460998535,0.7976178526878357,0.7035938501358032,0.7433537840843201,0.7144118547439575,0.7326857447624207,0.7199002504348755,12,,,,,,,,,,,,,,,
,,207,,,,,,,,12,0.8106092810630798,0.31383779644966125,0.7680000066757202,0.7374744415283203,0.610547661781311,0.6200608015060425,,,,,,,,,
0.0001,0.0001,208,,,,,,,,,,,,,,,,,,,,,,,
,,223,0.5500354170799255,0.7984151244163513,0.7043362855911255,0.7464212775230408,0.7227305173873901,0.7340764999389648,0.7268156409263611,13,,,,,,,,,,,,,,,
,,223,,,,,,,,13,0.8056520819664001,0.3121367394924164,0.7070000171661377,0.7034721970558167,0.5845111608505249,0.5710297226905823,,,,,,,,,
0.0001,0.0001,224,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.5540371537208557,0.7987895607948303,0.7036577463150024,0.7484662532806396,0.7229463458061218,0.737042248249054,0.7277134656906128,14,,,,,,,,,,,,,,,
,,239,,,,,,,,14,0.8214869499206543,0.3186202943325043,0.7450000047683716,0.7805143594741821,0.6187132596969604,0.6190476417541504,,,,,,,,,
0.0001,0.0001,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,15,,,,,,,0.5603092908859253,,,,,,,,
,,255,0.5576901435852051,0.798719048500061,0.7037515640258789,0.7443763017654419,0.7181538343429565,0.7326484322547913,0.7229461669921875,15,,,,,,,,,,,,,,,
