lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.6776744723320007,0.5892362594604492,0.4560830593109131,0.6124744415283203,0.5,nan,0.3798351287841797,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.46981629729270935,0.04558711498975754,0.7325000166893005,0.5095317363739014,0.5023313760757446,0.4644041359424591,,,,,,,,,
0.001,0.001,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.670211911201477,0.6147933006286621,0.49571722745895386,0.6124744415283203,0.5,nan,0.3798351287841797,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.6043652296066284,0.06467258930206299,0.8774999976158142,0.48563337326049805,0.49116846919059753,0.4868975579738617,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.6664004325866699,0.6229599714279175,0.5121137499809265,0.6124744415283203,0.5,nan,0.3798351287841797,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.6759220957756042,0.09219960123300552,0.9375,0.5171294212341309,0.5395408272743225,0.5208662748336792,,,,,,,,,
0.001,0.001,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6552887558937073,0.6303337812423706,0.5279757976531982,0.6247443556785583,0.5187383890151978,0.6857966184616089,0.4265066087245941,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.7878159880638123,0.1846383512020111,0.9200000166893005,0.5329465270042419,0.5366303324699402,0.5346131324768066,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.6458656787872314,0.6347518563270569,0.5373775959014893,0.6288343667984009,0.5777989625930786,0.5970439910888672,0.5746720433235168,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.8280149698257446,0.3167687654495239,0.9200000166893005,0.7079707384109497,0.631611168384552,0.6586666703224182,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.6592806577682495,0.6443016529083252,0.5466021299362183,0.593047022819519,0.6018826961517334,0.5968308448791504,0.5892525911331177,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.8144772052764893,0.4550926685333252,0.8799999952316284,0.8119906187057495,0.6155183911323547,0.6510613560676575,,,,,,,,,
0.001,0.001,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,0.6916338801383972,0.6566485166549683,0.5564319491386414,0.5725971460342407,0.6036005616188049,0.6038035750389099,0.5725953578948975,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.8238707780838013,0.27372100949287415,0.800000011920929,0.794999361038208,0.5759450793266296,0.5783926248550415,,,,,,,,,
0.001,0.001,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.3561524450778961,,,,,,,,
,,55,0.691838800907135,0.6700173020362854,0.5703622102737427,0.592024564743042,0.6141303777694702,0.6106886863708496,0.5913747549057007,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.8614449501037598,0.3409138321876526,0.8349999785423279,0.7883685827255249,0.5856410264968872,0.6021939516067505,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,0.6707149147987366,0.6816550493240356,0.5840208530426025,0.6380367875099182,0.6192290782928467,0.6190005540847778,0.619111955165863,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.8950130939483643,0.4176810383796692,0.8550000190734863,0.7988672256469727,0.5969700813293457,0.6221744418144226,,,,,,,,,
0.001,0.001,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.748583972454071,0.688654363155365,0.5889634490013123,0.5623722076416016,0.6063976287841797,0.6145322322845459,0.5608276128768921,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.8753972053527832,0.3394613564014435,0.8475000262260437,0.7949302196502686,0.5924242734909058,0.6144060492515564,,,,,,,,,
0.001,0.001,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.6933380365371704,0.692861020565033,0.5958858728408813,0.6533742547035217,0.6467705965042114,0.6415463089942932,0.6424432396888733,10,,,,,,,,,,,,,,,
,,76,,,,,,,,10,0.9399088621139526,0.5177754163742065,0.8075000047683716,0.8489432334899902,0.5891445279121399,0.5972750782966614,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,83,0.7165853381156921,0.6959620714187622,0.5973165035247803,0.6635991930961609,0.6517260670661926,0.6485364437103271,0.6496719121932983,11,,,,,,,,,,,,,,,
