lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.6837122440338135,0.6409450769424438,0.5116293430328369,0.6165643930435181,0.512545108795166,0.5887337923049927,0.4244883060455322,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.4822022318840027,0.09394175559282303,0.3799999952316284,0.4810810983181,0.49433720111846924,0.3230701982975006,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6745743155479431,0.6729421615600586,0.5482608079910278,0.6298568248748779,0.5326027274131775,0.636506199836731,0.46752214431762695,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.6341541409492493,0.1282072365283966,0.8399999737739563,0.5969970226287842,0.5588571429252625,0.568293571472168,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6741427183151245,0.670805811882019,0.5548282861709595,0.5971370339393616,0.6187885999679565,0.6150014400482178,0.5963926315307617,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.6528128385543823,0.13648363947868347,0.8450000286102295,0.5588588714599609,0.5406346917152405,0.5457172989845276,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.678770899772644,0.6574457883834839,0.5444881916046143,0.5368098020553589,0.5879522562026978,0.6008882522583008,0.5325832366943359,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.6662262678146362,0.16168546676635742,0.625,0.6033033132553101,0.5302192568778992,0.4719776511192322,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.8430805802345276,,,,,,,,
,,49,0.674286961555481,0.6523801684379578,0.5345214605331421,0.5940695405006409,0.6254906058311462,0.625369668006897,0.5940691232681274,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.7234434485435486,0.22451220452785492,0.7816666960716248,0.6675676107406616,0.567020058631897,0.5699254274368286,,,,,,,,,
0.001,0.001,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.6896475553512573,0.6550275087356567,0.5321751832962036,0.5756646394729614,0.613372802734375,0.6170973777770996,0.5752911567687988,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.7305305600166321,0.2045617252588272,0.6516666412353516,0.6789789795875549,0.5527023077011108,0.5044869184494019,,,,,,,,,
0.001,0.001,60,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.6532675623893738,0.6726250052452087,0.5476725697517395,0.6319018602371216,0.6268186569213867,0.6216734647750854,0.6217788457870483,6,,,,,,,,,,,,,,,
,,69,,,,,,,,6,0.7856256365776062,0.22515514492988586,0.778333306312561,0.6963964104652405,0.5754197835922241,0.5787384510040283,,,,,,,,,
0.001,0.001,70,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.672774612903595,0.6929887533187866,0.5733194351196289,0.627811849117279,0.6520674228668213,0.6475718021392822,0.6272491216659546,7,,,,,,,,,,,,,,,
,,79,,,,,,,,7,0.8009209036827087,0.26176878809928894,0.7133333086967468,0.7735735774040222,0.5847799181938171,0.5628896951675415,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.6437764167785645,0.7182507514953613,0.6053144335746765,0.6451942920684814,0.6609278917312622,0.6534835696220398,0.6429811716079712,8,,,,,,,,,,,,,,,
,,89,,,,,,,,8,0.8184183835983276,0.24999083578586578,0.7233333587646484,0.7585585713386536,0.5822077393531799,0.5649819374084473,,,,,,,,,
0.001,0.001,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.6792805194854736,,,,,,,,
,,99,0.6116380095481873,0.7347954511642456,0.6340248584747314,0.6748466491699219,0.6788358688354492,0.6701307892799377,0.6688134670257568,9,,,,,,,,,,,,,,,
,,99,,,,,,,,9,0.8553352952003479,0.33331331610679626,0.7350000143051147,0.7546546459197998,0.5830894708633423,0.5709640383720398,,,,,,,,,
0.001,0.001,100,,,,,,,,,,,,,,,,,,,,,,,
,,109,0.6344107389450073,0.7395792007446289,0.6410813927650452,0.6646216511726379,0.6787257194519043,0.6700260043144226,0.6618841886520386,10,,,,,,,,,,,,,,,
,,109,,,,,,,,10,0.8464864492416382,0.3138459324836731,0.7450000047683716,0.7702702879905701,0.5892857313156128,0.5815384387969971,,,,,,,,,
0.001,0.001,110,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.6993776559829712,0.7619118690490723,0.6705875396728516,0.6288343667984009,0.6717990636825562,0.6797990202903748,0.6282432079315186,11,,,,,,,,,,,,,,,
,,119,,,,,,,,11,0.8583383560180664,0.37131235003471375,0.8133333325386047,0.7867867946624756,0.6140979528427124,0.6339869499206543,,,,,,,,,
0.0001,0.0001,120,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.6707244515419006,0.7623611688613892,0.6720737814903259,0.6441717743873596,0.6780209541320801,0.677679717540741,0.6441702842712402,12,,,,,,,,,,,,,,,
,,129,,,,,,,,12,0.8377577066421509,0.25969478487968445,0.721666693687439,0.7882882952690125,0.5900000333786011,0.5717490911483765,,,,,,,,,
0.0001,0.0001,130,,,,,,,,,,,,,,,,,,,,,,,
,,139,0.6541499495506287,0.762251079082489,0.6722784042358398,0.6666666865348816,0.6934776902198792,0.6879924535751343,0.6662144064903259,13,,,,,,,,,,,,,,,
,,139,,,,,,,,13,0.8416016101837158,0.3175092041492462,0.7416666746139526,0.7888889312744141,0.5936964154243469,0.5845227837562561,,,,,,,,,
0.0001,0.0001,140,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,14,,,,,,,0.28015509247779846,,,,,,,,
,,149,0.6250765919685364,0.7626166343688965,0.6726715564727783,0.6809815764427185,0.6954730749130249,0.6858927011489868,0.6782568693161011,14,,,,,,,,,,,,,,,
,,149,,,,,,,,14,0.8379179239273071,0.2823723256587982,0.7716666460037231,0.8255255222320557,0.6104379296302795,0.6146471500396729,,,,,,,,,
0.0001,0.0001,150,,,,,,,,,,,,,,,,,,,,,,,
,,159,0.619687557220459,0.7612951993942261,0.6712511777877808,0.6912065148353577,0.6980059146881104,0.6881406307220459,0.6861613988876343,15,,,,,,,,,,,,,,,
,,159,,,,,,,,15,0.8753553628921509,0.43895697593688965,0.8083333373069763,0.8045045137405396,0.6169352531433105,0.6357512474060059,,,,,,,,,
0.0001,0.0001,160,,,,,,,,,,,,,,,,,,,,,,,
,,169,0.6349503993988037,0.7598415613174438,0.6705701351165771,0.6789366006851196,0.6947727203369141,0.6854410767555237,0.6765505075454712,16,,,,,,,,,,,,,,,
,,169,,,,,,,,16,0.8770771026611328,0.37349948287010193,0.7833333611488342,0.7909910082817078,0.6044917106628418,0.61308753490448,,,,,,,,,
0.0001,0.0001,170,,,,,,,,,,,,,,,,,,,,,,,
,,179,0.6288411617279053,0.7600795030593872,0.6700953245162964,0.6871165633201599,0.6956360936164856,0.6857644319534302,0.6826520562171936,17,,,,,,,,,,,,,,,
,,179,,,,,,,,17,0.8765164613723755,0.4027515947818756,0.8083333373069763,0.8351351022720337,0.6251195669174194,0.6449722647666931,,,,,,,,,
0.0001,0.0001,180,,,,,,,,,,,,,,,,,,,,,,,
,,189,0.6332314014434814,0.7609604001045227,0.671964168548584,0.6840490698814392,0.6950700283050537,0.6852184534072876,0.6803647875785828,18,,,,,,,,,,,,,,,
,,189,,,,,,,,18,0.8884484767913818,0.33637112379074097,0.8033333420753479,0.8222222328186035,0.6197562217712402,0.6372281908988953,,,,,,,,,
0.0001,0.0001,190,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,19,,,,,,,0.21951250731945038,,,,,,,,
,,199,0.6468636393547058,0.759978175163269,0.6713145971298218,0.6728016138076782,0.690248966217041,0.6814993619918823,0.6708137392997742,19,,,,,,,,,,,,,,,
,,199,,,,,,,,19,0.877757728099823,0.397416353225708,0.7833333611488342,0.7909910082817078,0.6044917106628418,0.61308753490448,,,,,,,,,
0.0001,0.0001,200,,,,,,,,,,,,,,,,,,,,,,,
,,209,0.6521438956260681,0.7591720819473267,0.6711902022361755,0.6728016138076782,0.6921870708465576,0.6838181018829346,0.6712121963500977,20,,,,,,,,,,,,,,,
,,209,,,,,,,,20,0.8787187337875366,0.3731081187725067,0.7699999809265137,0.8246246576309204,0.6097521185874939,0.6132214665412903,,,,,,,,,
0.0001,0.0001,210,,,,,,,,,,,,,,,,,,,,,,,
,,219,0.646457314491272,0.7600442171096802,0.6718897223472595,0.6748466491699219,0.6904647350311279,0.6813395023345947,0.672430157661438,21,,,,,,,,,,,,,,,
,,219,,,,,,,,21,0.8576576709747314,0.3190865218639374,0.7733333110809326,0.7957957983016968,0.6029257774353027,0.6075035929679871,,,,,,,,,
0.0001,0.0001,220,,,,,,,,,,,,,,,,,,,,,,,
,,229,0.6434814929962158,0.7606829404830933,0.6723237633705139,0.6789366006851196,0.6928346157073975,0.6833251714706421,0.6760700941085815,22,,,,,,,,,,,,,,,
,,229,,,,,,,,22,0.8828027844429016,0.37528038024902344,0.7733333110809326,0.8060060143470764,0.605689287185669,0.6104193925857544,,,,,,,,,
0.0001,0.0001,230,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.6414603590965271,0.7607005834579468,0.6728013753890991,0.6789366006851196,0.6904119253158569,0.6808251142501831,0.6754058599472046,23,,,,,,,,,,,,,,,
,,239,,,,,,,,23,0.8772772550582886,0.32206207513809204,0.7850000262260437,0.8123123049736023,0.6107954382896423,0.6205416917800903,,,,,,,,,
1e-05,1e-05,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,24,,,,,,,0.32995954155921936,,,,,,,,
,,249,0.6409283876419067,0.760779857635498,0.6728882789611816,0.6799591183662415,0.6897929906845093,0.680189847946167,0.6759337186813354,24,,,,,,,,,,,,,,,
,,249,,,,,,,,24,0.8708308339118958,0.3724721372127533,0.7850000262260437,0.7918919324874878,0.6052494645118713,0.6145399212837219,,,,,,,,,
1e-05,1e-05,250,,,,,,,,,,,,,,,,,,,,,,,
,,259,0.6408045291900635,0.7608458995819092,0.6730504631996155,0.6789366006851196,0.6884737610816956,0.6789366006851196,0.6748229265213013,25,,,,,,,,,,,,,,,
,,259,,,,,,,,25,0.8591391444206238,0.3732638359069824,0.7866666913032532,0.8030030131340027,0.6088050603866577,0.6190400719642639,,,,,,,,,
1e-05,1e-05,260,,,,,,,,,,,,,,,,,,,,,,,
,,269,0.64081209897995,0.7609119415283203,0.6730876564979553,0.6789366006851196,0.6884737610816956,0.6789366006851196,0.6748229265213013,26,,,,,,,,,,,,,,,
,,269,,,,,,,,26,0.8816416263580322,0.3233708143234253,0.8133333325386047,0.837837815284729,0.6278893351554871,0.6498175859451294,,,,,,,,,
1e-05,1e-05,270,,,,,,,,,,,,,,,,,,,,,,,
,,279,0.6408800482749939,0.7608591318130493,0.6730054616928101,0.6779140830039978,0.6871545314788818,0.6776848435401917,0.6737110018730164,27,,,,,,,,,,,,,,,
,,279,,,,,,,,27,0.8820420503616333,0.35028478503227234,0.7933333516120911,0.806606650352478,0.6119664907455444,0.6249924302101135,,,,,,,,,
1e-05,1e-05,280,,,,,,,,,,,,,,,,,,,,,,,
,,289,0.6415550708770752,0.7608414888381958,0.672923743724823,0.6779140830039978,0.6871545314788818,0.6776848435401917,0.6737110018730164,28,,,,,,,,,,,,,,,
,,289,,,,,,,,28,0.8663864135742188,0.3248952627182007,0.7950000166893005,0.787087082862854,0.6071813106536865,0.6202746629714966,,,,,,,,,
1e-05,1e-05,290,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,29,,,,,,,0.3210287392139435,,,,,,,,
,,299,0.6416110396385193,0.7608591318130493,0.6728911399841309,0.6789366006851196,0.6884737610816956,0.6789366006851196,0.6748229265213013,29,,,,,,,,,,,,,,,
,,299,,,,,,,,29,0.8865265846252441,0.3383733034133911,0.8033333420753479,0.8324324488639832,0.6224575638771057,0.6402146816253662,,,,,,,,,
1e-05,1e-05,300,,,,,,,,,,,,,,,,,,,,,,,
,,309,0.6418910026550293,0.7609295845031738,0.6730712056159973,0.6779140830039978,0.6881235837936401,0.6786108613014221,0.6740120649337769,30,,,,,,,,,,,,,,,
,,309,,,,,,,,30,0.8576176166534424,0.35894501209259033,0.7850000262260437,0.7918919324874878,0.6052494645118713,0.6145399212837219,,,,,,,,,
1e-05,1e-05,310,,,,,,,,,,,,,,,,,,,,,,,
,,319,0.6420988440513611,0.760942816734314,0.6731367707252502,0.6779140830039978,0.6881235837936401,0.6786108613014221,0.6740120649337769,31,,,,,,,,,,,,,,,
,,319,,,,,,,,31,0.8689489364624023,0.2967737317085266,0.7916666865348816,0.8159159421920776,0.6139119863510132,0.6264921426773071,,,,,,,,,
1e-05,1e-05,320,,,,,,,,,,,,,,,,,,,,,,,
,,329,0.6421291828155518,0.7608503103256226,0.6729943752288818,0.6779140830039978,0.6881235837936401,0.6786108613014221,0.6740120649337769,32,,,,,,,,,,,,,,,
,,329,,,,,,,,32,0.8694694638252258,0.3627844452857971,0.8050000071525574,0.8129129409790039,0.6179017424583435,0.6357390880584717,,,,,,,,,
1e-05,1e-05,330,,,,,,,,,,,,,,,,,,,,,,,
,,339,0.6427698135375977,0.7608414888381958,0.6729817390441895,0.6779140830039978,0.6886081099510193,0.6790828704833984,0.6741582155227661,33,,,,,,,,,,,,,,,
,,339,,,,,,,,33,0.8679479360580444,0.31259024143218994,0.7950000166893005,0.7972972989082336,0.6100000143051147,0.6234213709831238,,,,,,,,,
1e-05,1e-05,340,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,34,,,,,,,0.2048591673374176,,,,,,,,
,,349,0.6431062817573547,0.7606961727142334,0.6727858781814575,0.6789366006851196,0.689927339553833,0.6803438067436218,0.6752644777297974,34,,,,,,,,,,,,,,,
,,349,,,,,,,,34,0.8803603649139404,0.3570742607116699,0.7950000166893005,0.7972972989082336,0.6100000143051147,0.6234213709831238,,,,,,,,,
1e-05,1e-05,350,,,,,,,,,,,,,,,,,,,,,,,
,,359,0.643510639667511,0.7606873512268066,0.6727817058563232,0.6789366006851196,0.689927339553833,0.6803438067436218,0.6752644777297974,35,,,,,,,,,,,,,,,
