lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.6860784292221069,0.6237374544143677,0.5031830668449402,0.6237218976020813,0.5300170183181763,0.6006201505661011,0.4722103178501129,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.48126477003097534,0.1566634476184845,0.375,0.5041734576225281,0.5026881694793701,0.3615771532058716,,,,,,,,,
0.001,0.001,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.6737499237060547,0.6769087314605713,0.5669649839401245,0.6124744415283203,0.5,nan,0.3798351287841797,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.5480856895446777,0.17638146877288818,0.6825000047683716,0.5120214223861694,0.5091457962989807,0.5062160491943359,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.6680848002433777,0.6875619888305664,0.5824640989303589,0.6124744415283203,0.5,nan,0.3798351287841797,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.5518054962158203,0.19979967176914215,0.800000011920929,0.5215931534767151,0.545698881149292,0.5178108811378479,,,,,,,,,
0.001,0.001,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6803522706031799,0.7046440839767456,0.5984980463981628,0.6779140830039978,0.6575977802276611,0.6597288846969604,0.6585327982902527,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.5363817811012268,0.19167423248291016,0.6549999713897705,0.5077118277549744,0.5053291320800781,0.4973776340484619,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.6648519039154053,0.7066174745559692,0.5927733778953552,0.6257668733596802,0.5205421447753906,0.6816216707229614,0.43119657039642334,4,,,,,,,,,,,,,,,
