lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6844018697738647,0.6098686456680298,0.48048919439315796,0.6114519238471985,0.49916526675224304,0.30603888630867004,0.37944161891937256,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.5055834650993347,0.10587341338396072,0.7919999957084656,0.5273256301879883,0.5163995623588562,0.5145449638366699,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6732381582260132,0.6598244905471802,0.5217412710189819,0.6124744415283203,0.5,nan,0.3798351287841797,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.5393863916397095,0.10036773979663849,0.7099999785423279,0.5240145325660706,0.510040819644928,0.48856863379478455,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6763374209403992,0.6695239543914795,0.5304884910583496,0.626789391040802,0.5368820428848267,0.6047673225402832,0.4881438910961151,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.5662273168563843,0.10630637407302856,0.6179999709129333,0.525626003742218,0.5087619423866272,0.4557505249977112,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6542941331863403,,,,,,,,
,,63,0.6585918664932251,0.6932574510574341,0.5564154982566833,0.6134969592094421,0.5022883415222168,0.6067831516265869,0.38758349418640137,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.5419924259185791,0.12200916558504105,0.7139999866485596,0.5522025227546692,0.5214979648590088,0.5025187134742737,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.6639165878295898,0.7165944576263428,0.5837264060974121,0.6625766754150391,0.6116438508033752,0.6419081091880798,0.6110385060310364,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.5520262718200684,0.11458402872085571,0.5809999704360962,0.5261610746383667,0.5085777044296265,0.44058671593666077,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.6319380402565002,0.7462173104286194,0.6151068210601807,0.6728016138076782,0.6132075786590576,0.6621840596199036,0.6094093322753906,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.6737923622131348,0.16203518211841583,0.7799999713897705,0.6195440292358398,0.5578461289405823,0.5613720417022705,,,,,,,,,
