lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.6898208856582642,0.5176723599433899,0.4195338487625122,0.6175869107246399,0.5279159545898438,0.5770001411437988,0.4778027832508087,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.4839857816696167,0.06642518937587738,0.7166666388511658,0.5052444338798523,0.5016447305679321,0.4684731662273407,,,,,,,,,
0.001,0.001,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.6822351217269897,0.5664629936218262,0.4614937901496887,0.6104294657707214,0.4988150894641876,0.43095481395721436,0.38150477409362793,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.537366509437561,0.06975141167640686,0.8366666436195374,0.47115564346313477,0.48204290866851807,0.47498124837875366,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.681046724319458,0.6058602333068848,0.49397629499435425,0.6114519238471985,0.501103401184082,0.5287237763404846,0.38913580775260925,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.42948117852211,0.10414809733629227,0.8799999952316284,0.49428731203079224,0.49428731203079224,0.49428731203079224,,,,,,,,,
0.001,0.001,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6777576804161072,0.6281951665878296,0.5110741853713989,0.615541934967041,0.5073495507240295,0.6021301746368408,0.40473970770835876,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.5847537517547607,0.17439022660255432,0.9200000166893005,0.5401760339736938,0.581901490688324,0.550449550151825,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,0.6827366352081299,0.6471978425979614,0.5239651203155518,0.6196318864822388,0.5945132970809937,0.5965547561645508,0.5952581167221069,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.5562839508056641,0.08749186992645264,0.8500000238418579,0.5273459553718567,0.5170242786407471,0.5178399085998535,,,,,,,,,
0.001,0.001,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6723585724830627,0.6685504913330078,0.5447404384613037,0.6513292193412781,0.5743587613105774,0.6456263065338135,0.5517277121543884,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.584753692150116,0.08274486660957336,0.7366666793823242,0.5159205794334412,0.5052794814109802,0.4788803458213806,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.6594676971435547,0.6857471466064453,0.5622990131378174,0.6298568248748779,0.5306645631790161,0.6472492218017578,0.46045902371406555,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.6995692253112793,0.14189590513706207,0.8899999856948853,0.5241618156433105,0.5254137516021729,0.5247467756271362,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
