lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.6928527355194092,0.644913911819458,0.5137773752212524,0.48466256260871887,0.5667008757591248,0.6239593029022217,0.4539339244365692,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.48256269097328186,0.10299208760261536,0.6411111354827881,0.4819469451904297,0.4926401376724243,0.4538496136665344,,,,,,,,,
0.001,0.001,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6885343790054321,0.6765850186347961,0.5450671911239624,0.5480572581291199,0.6097321510314941,0.6387170553207397,0.5394106507301331,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.6047917604446411,0.13849204778671265,0.7211111187934875,0.5870745778083801,0.5395975112915039,0.5287613868713379,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.6450036764144897,0.7043225169181824,0.5822082757949829,0.6523517370223999,0.5664718151092529,0.6703658699989319,0.530657172203064,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.5954853296279907,0.16942420601844788,0.5188888907432556,0.5560624599456787,0.5197827816009521,0.4266411066055298,,,,,,,,,
0.001,0.001,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.7320113182067871,,,,,,,,
,,59,0.6197369694709778,0.7152994871139526,0.6030663251876831,0.6676891446113586,0.6274463534355164,0.6461912393569946,0.629767656326294,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.7354735732078552,0.2350400686264038,0.846666693687439,0.6009292602539062,0.5886038541793823,0.5939849615097046,,,,,,,,,
0.001,0.001,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,0.5941798090934753,0.7345641851425171,0.6249029040336609,0.6871165633201599,0.6699556112289429,0.6702886819839478,0.670119047164917,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.7822016477584839,0.2591235637664795,0.7255555391311646,0.7111229300498962,0.5867315530776978,0.5790083408355713,,,,,,,,,
0.001,0.001,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.6642372012138367,0.7619999647140503,0.6563005447387695,0.696319043636322,0.6290144920349121,0.7152336835861206,0.6231253147125244,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.8190075159072876,0.28884196281433105,0.7144444584846497,0.7708239555358887,0.6047123670578003,0.59060138463974,,,,,,,,,
0.001,0.001,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.5399436354637146,,,,,,,,
,,104,0.5883030891418457,0.7764832973480225,0.6642290353775024,0.6789366006851196,0.6981644630432129,0.689404308795929,0.6772833466529846,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.8170202970504761,0.3071679472923279,0.7811111211776733,0.7368450164794922,0.6101399660110474,0.622855007648468,,,,,,,,,
0.001,0.001,105,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.5599993467330933,0.78335040807724,0.6787219047546387,0.7331288456916809,0.7118790745735168,0.7188398838043213,0.714630663394928,7,,,,,,,,,,,,,,,
,,119,,,,,,,,7,0.840461254119873,0.35889381170272827,0.79666668176651,0.7657299637794495,0.6257724761962891,0.6443371772766113,,,,,,,,,
0.001,0.001,120,,,,,,,,,,,,,,,,,,,,,,,
,,134,0.6035504937171936,0.7857291102409363,0.6848818063735962,0.7249488830566406,0.6804898977279663,0.7216877937316895,0.6863721609115601,8,,,,,,,,,,,,,,,
,,134,,,,,,,,8,0.8636503219604492,0.3903414011001587,0.7811111211776733,0.8179019689559937,0.636204183101654,0.6498808264732361,,,,,,,,,
0.001,0.001,135,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,1.7974882125854492,,,,,,,,
,,149,0.5917213559150696,0.7891340255737305,0.691023051738739,0.7290388345718384,0.7143546342849731,0.7145634889602661,0.7144582271575928,9,,,,,,,,,,,,,,,
,,149,,,,,,,,9,0.872089147567749,0.43364664912223816,0.8411111235618591,0.8106247186660767,0.6639060974121094,0.6967190504074097,,,,,,,,,
0.001,0.001,150,,,,,,,,,,,,,,,,,,,,,,,
,,164,0.5482180714607239,0.7896934747695923,0.6861173510551453,0.7208588719367981,0.6931407451629639,0.7062883377075195,0.6972702741622925,10,,,,,,,,,,,,,,,
,,164,,,,,,,,10,0.850271463394165,0.37376266717910767,0.6899999976158142,0.7724753618240356,0.6016843318939209,0.5757808089256287,,,,,,,,,
0.001,0.001,165,,,,,,,,,,,,,,,,,,,,,,,
,,179,0.5643242001533508,0.7924112677574158,0.6937893629074097,0.7372187972068787,0.7055272459983826,0.726905345916748,0.7113072872161865,11,,,,,,,,,,,,,,,
,,179,,,,,,,,11,0.8684225082397461,0.43289604783058167,0.8111110925674438,0.7939990758895874,0.6413005590438843,0.6653279662132263,,,,,,,,,
0.0001,0.0001,180,,,,,,,,,,,,,,,,,,,,,,,
,,194,0.5680722594261169,0.7927284240722656,0.6942211389541626,0.7361963391304016,0.7042080163955688,0.7258519530296326,0.7099884152412415,12,,,,,,,,,,,,,,,
,,194,,,,,,,,12,0.889694333076477,0.46023768186569214,0.800000011920929,0.838502049446106,0.6495893597602844,0.6706674695014954,,,,,,,,,
0.0001,0.0001,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,13,,,,,,,0.462993860244751,,,,,,,,
,,209,0.5794528126716614,0.7935168743133545,0.6961315274238586,0.7259713411331177,0.6847164034843445,0.7198735475540161,0.6907633543014526,13,,,,,,,,,,,,,,,
