lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.6946827173233032,0.6442415118217468,0.6336607933044434,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.5430802702903748,0.531904935836792,0.5488888621330261,0.5455057621002197,0.553274393081665,0.5300925970077515,,,,,,,,,
0.001,0.001,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6948739290237427,0.6705694794654846,0.6654820442199707,0.5083472728729248,0.5083472728729248,0.680682897567749,0.3544048070907593,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.5830347537994385,0.5644016861915588,0.5600000023841858,0.5633590221405029,0.5668061375617981,0.5555555820465088,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.6561311483383179,0.6675761938095093,0.6690586805343628,0.6277128458023071,0.6277128458023071,0.6277827024459839,0.6276620030403137,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.5726318359375,0.6156294345855713,0.5311111211776733,0.5284558534622192,0.5285714268684387,0.528419017791748,,,,,,,,,
0.001,0.001,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6173484921455383,,,,,,,,
,,59,0.6691604852676392,0.6637133359909058,0.6648524403572083,0.6260433793067932,0.626043438911438,0.6311322450637817,0.6223797798156738,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.7010819315910339,0.6666584014892578,0.6566666960716248,0.6508368253707886,0.6642780303955078,0.6469911336898804,,,,,,,,,
0.001,0.001,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,0.7277904152870178,0.7059623003005981,0.6974198818206787,0.6285476088523865,0.6285475492477417,0.6689784526824951,0.6049149632453918,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.7802753448486328,0.7920730113983154,0.7411110997200012,0.7393198013305664,0.7423794865608215,0.7395803928375244,,,,,,,,,
0.001,0.001,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.6724591851234436,0.7457364797592163,0.7386730909347534,0.6619365811347961,0.6619365811347961,0.6977799534797668,0.6458929777145386,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.7988480925559998,0.8014200925827026,0.7377777695655823,0.7356321811676025,0.7403858304023743,0.7356894016265869,,,,,,,,,
0.001,0.001,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.5415358543395996,,,,,,,,
,,104,0.7833414673805237,0.7569906711578369,0.7479596138000488,0.6302170157432556,0.6302170157432556,0.6874578595161438,0.5996553897857666,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.8237946033477783,0.8019768595695496,0.754444420337677,0.7545742988586426,0.754885196685791,0.7543932199478149,,,,,,,,,
0.001,0.001,105,,,,,,,,,,,,,,,,,,,,,,,
