lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.6881294846534729,0.6376849412918091,0.6225136518478394,0.5250417590141296,0.5250416994094849,0.693976640701294,0.3928493559360504,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5446010828018188,0.5282875895500183,0.5249999761581421,0.5242506265640259,0.5266484022140503,0.5136902332305908,,,,,,,,,
0.001,0.001,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6674149632453918,0.687598466873169,0.6635452508926392,0.639398992061615,0.6393990516662598,0.6399623155593872,0.6390358209609985,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.6482012271881104,0.6275262236595154,0.5950000286102295,0.5954992771148682,0.5960613489151001,0.5945717692375183,,,,,,,,,
0.001,0.001,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.6787270307540894,0.695845365524292,0.6632952690124512,0.5843071937561035,0.5843071937561035,0.6722469925880432,0.523486852645874,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.798454999923706,0.7985676527023315,0.7237499952316284,0.724001407623291,0.7333333492279053,0.7210296392440796,,,,,,,,,
0.001,0.001,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.4365116357803345,,,,,,,,
,,51,0.7261820435523987,0.7156362533569336,0.6735177040100098,0.629382312297821,0.629382312297821,0.6877591013908386,0.598146915435791,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.8494740724563599,0.8593338131904602,0.7762500047683716,0.7762705087661743,0.7763309478759766,0.7762412428855896,,,,,,,,,
0.001,0.001,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.7109389901161194,0.7595937252044678,0.7200753688812256,0.6811352372169495,0.6811351776123047,0.7065182328224182,0.6710267663002014,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.9152871370315552,0.9057522416114807,0.8412500023841858,0.8407917022705078,0.8411654233932495,0.8409456014633179,,,,,,,,,
0.001,0.001,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.8237798810005188,0.7752904891967773,0.744279682636261,0.686978280544281,0.686978280544281,0.7071691751480103,0.6791609525680542,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.9517666101455688,0.9431907534599304,0.9012500047683716,0.9006055593490601,0.9012218117713928,0.9008781313896179,,,,,,,,,
0.001,0.001,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.8472962975502014,0.7701845765113831,0.743044376373291,0.6694490909576416,0.6694490909576416,0.710299015045166,0.6525776386260986,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.9382301568984985,0.9199132919311523,0.875,0.8748592734336853,0.8749624490737915,0.8749054074287415,,,,,,,,,
0.001,0.001,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.33706098794937134,,,,,,,,
,,103,0.763196587562561,0.7694711089134216,0.7433407306671143,0.6928213834762573,0.6928213834762573,0.7097129225730896,0.6865087747573853,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.95020991563797,0.9279578328132629,0.8924999833106995,0.8930370211601257,0.892643928527832,0.8924832344055176,,,,,,,,,
0.001,0.001,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,0.7708733081817627,0.7754548788070679,0.7503560185432434,0.691986620426178,0.6919866800308228,0.7180236577987671,0.6825076937675476,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.9460282325744629,0.9158484935760498,0.8849999904632568,0.8856543898582458,0.8843709230422974,0.8847399353981018,,,,,,,,,
0.001,0.001,117,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.8943532109260559,0.7658604383468628,0.7415610551834106,0.6761268973350525,0.6761268377304077,0.7125635147094727,0.6616262793540955,9,,,,,,,,,,,,,,,
,,129,,,,,,,,9,0.9590156078338623,0.9508388638496399,0.9037500023841858,0.903245210647583,0.9039355516433716,0.9035207033157349,,,,,,,,,
0.001,0.001,130,,,,,,,,,,,,,,,,,,,,,,,
,,142,0.904938280582428,0.7687394618988037,0.7439044713973999,0.6828047037124634,0.6828047037124634,0.7107142210006714,0.6719416379928589,10,,,,,,,,,,,,,,,
,,142,,,,,,,,10,0.959616482257843,0.9476478695869446,0.9125000238418579,0.9126825928688049,0.9134060740470886,0.912473201751709,,,,,,,,,
0.001,0.001,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,11,,,,,,,0.11329679191112518,,,,,,,,
,,155,1.0098825693130493,0.7635332942008972,0.7374720573425293,0.6752921342849731,0.6752921342849731,0.7052977085113525,0.6629776954650879,11,,,,,,,,,,,,,,,
