lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.6854677200317383,0.7067984342575073,0.6921375393867493,0.5125208497047424,0.5125208497047424,0.6241811513900757,0.3711625337600708,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.5602052211761475,0.5434454679489136,0.5144444704055786,0.5149531364440918,0.518917441368103,0.48787397146224976,,,,,,,,,
0.001,0.001,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.659561812877655,0.7263413667678833,0.7058781981468201,0.6427379250526428,0.6427379250526428,0.6631778478622437,0.6311883926391602,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.630788266658783,0.5815581679344177,0.5933333039283752,0.5934004783630371,0.5937374830245972,0.5929936766624451,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.6360531449317932,0.7418736219406128,0.7255024909973145,0.6352253556251526,0.6352253556251526,0.6825559735298157,0.6099432706832886,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.6942962408065796,0.6422525644302368,0.6222222447395325,0.6203522682189941,0.6229106187820435,0.6193631887435913,,,,,,,,,
0.001,0.001,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.5455722212791443,,,,,,,,
,,59,0.6194431781768799,0.7558966875076294,0.7496374845504761,0.6719532608985901,0.6719532608985901,0.6909650564193726,0.663580060005188,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.762270450592041,0.7023135423660278,0.7155555486679077,0.7157368659973145,0.7215665578842163,0.713723361492157,,,,,,,,,
0.001,0.001,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,0.5687317252159119,0.7915223240852356,0.776024341583252,0.7253756523132324,0.7253756523132324,0.7253913283348083,0.7253708243370056,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.7889283895492554,0.7477318048477173,0.7433333396911621,0.7397297620773315,0.7503098249435425,0.7393687963485718,,,,,,,,,
0.001,0.001,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.6095437407493591,0.791837215423584,0.7805773019790649,0.7111853361129761,0.7111853361129761,0.726977527141571,0.7060726881027222,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.8061940670013428,0.7521865367889404,0.7622222304344177,0.7610155344009399,0.7654746770858765,0.7608569860458374,,,,,,,,,
0.001,0.001,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.45892003178596497,,,,,,,,
,,104,0.6245648860931396,0.792667806148529,0.777426540851593,0.7245408892631531,0.7245409488677979,0.7292667627334595,0.723114013671875,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.8117579817771912,0.7615764141082764,0.7822222113609314,0.7766543626785278,0.7968078851699829,0.7768218517303467,,,,,,,,,
0.001,0.001,105,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.6446171402931213,0.7861851453781128,0.7635477781295776,0.7136895060539246,0.7136894464492798,0.7277836799621582,0.7091909646987915,7,,,,,,,,,,,,,,,
,,119,,,,,,,,7,0.8302117586135864,0.7580480575561523,0.7977777719497681,0.7987790107727051,0.8048930168151855,0.7969344258308411,,,,,,,,,
0.001,0.001,120,,,,,,,,,,,,,,,,,,,,,,,
,,134,0.6180218458175659,0.7874085903167725,0.7557137608528137,0.72954922914505,0.7295492887496948,0.7358625531196594,0.7277272939682007,8,,,,,,,,,,,,,,,
,,134,,,,,,,,8,0.8128597140312195,0.7371479272842407,0.7733333110809326,0.7777140140533447,0.7923850417137146,0.7712446451187134,,,,,,,,,
0.001,0.001,135,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.09477529674768448,,,,,,,,
,,149,0.7368236780166626,0.7957085371017456,0.7750645875930786,0.7245408892631531,0.7245408892631531,0.7249647378921509,0.724411129951477,9,,,,,,,,,,,,,,,
,,149,,,,,,,,9,0.8400733470916748,0.7658823728561401,0.8033333420753479,0.8030731081962585,0.820875883102417,0.8005136847496033,,,,,,,,,
0.001,0.001,150,,,,,,,,,,,,,,,,,,,,,,,
,,164,0.6576213836669922,0.7915390729904175,0.7688016891479492,0.7195325493812561,0.7195326089859009,0.7216103076934814,0.7188736200332642,10,,,,,,,,,,,,,,,
,,164,,,,,,,,10,0.8110147714614868,0.7647495865821838,0.7911111116409302,0.7799279689788818,0.8124947547912598,0.7819992303848267,,,,,,,,,
0.001,0.001,165,,,,,,,,,,,,,,,,,,,,,,,
,,179,0.6174965500831604,0.7802110314369202,0.7502070665359497,0.7053422331809998,0.7053422927856445,0.7269946336746216,0.6981439590454102,11,,,,,,,,,,,,,,,
,,179,,,,,,,,11,0.8286873698234558,0.720800518989563,0.7844444513320923,0.7895195484161377,0.7945101857185364,0.784059464931488,,,,,,,,,
0.0001,0.0001,180,,,,,,,,,,,,,,,,,,,,,,,
,,194,0.6380444765090942,0.784465491771698,0.7572470307350159,0.716193675994873,0.716193675994873,0.7246174216270447,0.7135075926780701,12,,,,,,,,,,,,,,,
,,194,,,,,,,,12,0.802602231502533,0.710922360420227,0.7711111307144165,0.7779300212860107,0.8138097524642944,0.7657623887062073,,,,,,,,,
0.0001,0.0001,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,13,,,,,,,0.5178780555725098,,,,,,,,
,,209,0.6776471138000488,0.7876455783843994,0.7631401419639587,0.72954922914505,0.7295492887496948,0.7304768562316895,0.7292768955230713,13,,,,,,,,,,,,,,,
,,209,,,,,,,,13,0.8264238238334656,0.726791262626648,0.804444432258606,0.8046509027481079,0.8153784871101379,0.8028075098991394,,,,,,,,,
0.0001,0.0001,210,,,,,,,,,,,,,,,,,,,,,,,
,,224,0.6486034989356995,0.7854688167572021,0.7590067982673645,0.7237061858177185,0.7237061262130737,0.7280853986740112,0.7223736047744751,14,,,,,,,,,,,,,,,
,,224,,,,,,,,14,0.8190525770187378,0.7541093230247498,0.7866666913032532,0.7881017923355103,0.7971915006637573,0.7852925062179565,,,,,,,,,
0.0001,0.0001,225,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.6423872709274292,0.7847358584403992,0.7571381330490112,0.7220367193222046,0.7220367193222046,0.7282721996307373,0.7201254367828369,15,,,,,,,,,,,,,,,
,,239,,,,,,,,15,0.8269245624542236,0.7405086159706116,0.8022222518920898,0.801258385181427,0.8168830871582031,0.7995455265045166,,,,,,,,,
0.0001,0.0001,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,16,,,,,,,0.5063356161117554,,,,,,,,
,,254,0.6667941808700562,0.786240816116333,0.7596949338912964,0.72954922914505,0.7295492887496948,0.7317217588424683,0.7289138436317444,16,,,,,,,,,,,,,,,
,,254,,,,,,,,16,0.8428943157196045,0.7503788471221924,0.7977777719497681,0.8032407760620117,0.8227484226226807,0.7955474853515625,,,,,,,,,
0.0001,0.0001,255,,,,,,,,,,,,,,,,,,,,,,,
,,269,0.6824712753295898,0.7870965003967285,0.7613246440887451,0.7278798222541809,0.7278797626495361,0.7288006544113159,0.7276057004928589,17,,,,,,,,,,,,,,,
,,269,,,,,,,,17,0.8408138751983643,0.7887700796127319,0.8055555820465088,0.8006101846694946,0.818289041519165,0.8014770150184631,,,,,,,,,
0.0001,0.0001,270,,,,,,,,,,,,,,,,,,,,,,,
,,284,0.6684694290161133,0.786773145198822,0.760658860206604,0.72954922914505,0.7295492887496948,0.731573224067688,0.7289569973945618,18,,,,,,,,,,,,,,,
,,284,,,,,,,,18,0.8361920714378357,0.7487382888793945,0.8111110925674438,0.8124706745147705,0.8311550617218018,0.8086533546447754,,,,,,,,,
0.0001,0.0001,285,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,19,,,,,,,0.27365249395370483,,,,,,,,
,,299,0.6730283498764038,0.7872274518013,0.7610286474227905,0.7270450592041016,0.7270450592041016,0.7283337712287903,0.7266594171524048,19,,,,,,,,,,,,,,,
,,299,,,,,,,,19,0.8377372026443481,0.7646979093551636,0.7944444417953491,0.7970849871635437,0.8126901388168335,0.7923212051391602,,,,,,,,,
0.0001,0.0001,300,,,,,,,,,,,,,,,,,,,,,,,
,,314,0.6723663210868835,0.786650538444519,0.7598870396614075,0.7287145256996155,0.7287145256996155,0.7301313281059265,0.7282962799072266,20,,,,,,,,,,,,,,,
