lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.6882774829864502,0.6071735620498657,0.6152178049087524,0.5559265613555908,0.5559265613555908,0.5870046615600586,0.5123821496963501,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5279507040977478,0.513661801815033,0.5224999785423279,0.5218505263328552,0.5234341621398926,0.5139670968055725,,,,,,,,,
0.001,0.001,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6730712652206421,0.6694741249084473,0.6835855841636658,0.5934891700744629,0.5934891700744629,0.617106556892395,0.5719051957130432,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.617526650428772,0.5999056696891785,0.5662500262260437,0.5680645704269409,0.5710287094116211,0.5624039173126221,,,,,,,,,
0.001,0.001,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.6747099757194519,0.6838693022727966,0.705573558807373,0.6085141897201538,0.6085141897201538,0.6514744758605957,0.5786381959915161,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.7217544913291931,0.7158259153366089,0.6850000023841858,0.6849542856216431,0.685213565826416,0.6848739385604858,,,,,,,,,
0.001,0.001,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.5170885920524597,,,,,,,,
,,51,0.6422314643859863,0.7161072492599487,0.7354884147644043,0.6477462649345398,0.6477462649345398,0.6557764410972595,0.643147349357605,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.7932193875312805,0.7736812233924866,0.7287499904632568,0.7223060131072998,0.7313395738601685,0.7232279777526855,,,,,,,,,
0.001,0.001,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.5685113072395325,0.7799755334854126,0.7843992710113525,0.7061769366264343,0.7061769962310791,0.708710789680481,0.70528244972229,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.794764518737793,0.7832192182540894,0.7149999737739563,0.7142106294631958,0.7148235440254211,0.7143555283546448,,,,,,,,,
0.001,0.001,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.6301950216293335,0.7788495421409607,0.7815739512443542,0.6961602568626404,0.6961602568626404,0.7096607685089111,0.6911889910697937,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.8242268562316895,0.7952964305877686,0.7262499928474426,0.725986897945404,0.7286232709884644,0.725381076335907,,,,,,,,,
0.001,0.001,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.6566321849822998,0.771277129650116,0.7774012684822083,0.6986644268035889,0.6986644268035889,0.7077097296714783,0.6953476667404175,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.8163125514984131,0.7698013782501221,0.7524999976158142,0.7524999976158142,0.7595667243003845,0.7508039474487305,,,,,,,,,
0.001,0.001,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.6245609521865845,,,,,,,,
,,103,0.893446147441864,0.7659845352172852,0.776615560054779,0.673622727394104,0.673622727394104,0.7226129174232483,0.654620885848999,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.8494163751602173,0.8063277006149292,0.7699999809265137,0.7687041759490967,0.7754548788070679,0.7682254314422607,,,,,,,,,
0.001,0.001,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,1.0080894231796265,0.7602877616882324,0.7730168700218201,0.6794657707214355,0.6794657707214355,0.7040727138519287,0.6695029735565186,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.8605782389640808,0.8318912982940674,0.8087499737739563,0.8034175634384155,0.8202680349349976,0.804714560508728,,,,,,,,,
0.001,0.001,117,,,,,,,,,,,,,,,,,,,,,,,
,,129,1.1953182220458984,0.7537270188331604,0.7691666483879089,0.6752921342849731,0.6752921342849731,0.7040879130363464,0.6634197235107422,9,,,,,,,,,,,,,,,
,,129,,,,,,,,9,0.8608673214912415,0.8320313692092896,0.800000011920929,0.7987048625946045,0.8212336301803589,0.7961459159851074,,,,,,,,,
0.001,0.001,130,,,,,,,,,,,,,,,,,,,,,,,
,,142,1.3454943895339966,0.7430191040039062,0.7597956657409668,0.6669449210166931,0.6669449210166931,0.6932507753372192,0.6552115082740784,10,,,,,,,,,,,,,,,
,,142,,,,,,,,10,0.894818127155304,0.8758811950683594,0.8224999904632568,0.8142402172088623,0.8427394032478333,0.816556453704834,,,,,,,,,
0.001,0.001,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,11,,,,,,,0.3943241834640503,,,,,,,,
,,155,1.2445647716522217,0.7533925771713257,0.7643068432807922,0.686978280544281,0.686978280544281,0.6989607810974121,0.6821932792663574,11,,,,,,,,,,,,,,,
,,155,,,,,,,,11,0.8800804615020752,0.8485230207443237,0.8075000047683716,0.8077425956726074,0.8195831775665283,0.8057469129562378,,,,,,,,,
0.0001,0.0001,156,,,,,,,,,,,,,,,,,,,,,,,
,,168,1.2453683614730835,0.7523474097251892,0.763573408126831,0.683639407157898,0.683639407157898,0.6979391574859619,0.6778205633163452,12,,,,,,,,,,,,,,,
,,168,,,,,,,,12,0.8877372741699219,0.8406440019607544,0.8062499761581421,0.8078755140304565,0.8216555118560791,0.8044383525848389,,,,,,,,,
0.0001,0.0001,169,,,,,,,,,,,,,,,,,,,,,,,
,,181,1.2997894287109375,0.7510625720024109,0.7632383704185486,0.6844741106033325,0.6844741106033325,0.7060918807983398,0.6759771108627319,13,,,,,,,,,,,,,,,
,,181,,,,,,,,13,0.8888283967971802,0.8310127258300781,0.8012499809265137,0.8042988777160645,0.8174078464508057,0.7996721267700195,,,,,,,,,
0.0001,0.0001,182,,,,,,,,,,,,,,,,,,,,,,,
,,194,1.2310596704483032,0.749170184135437,0.7610461115837097,0.6828047037124634,0.6828047037124634,0.6957428455352783,0.677475094795227,14,,,,,,,,,,,,,,,
,,194,,,,,,,,14,0.8625262379646301,0.8160903453826904,0.7799999713897705,0.7773996591567993,0.7875298261642456,0.7773053646087646,,,,,,,,,
0.0001,0.0001,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,15,,,,,,,0.3705374598503113,,,,,,,,
,,207,1.2213714122772217,0.7476679682731628,0.7593077421188354,0.681969940662384,0.681969940662384,0.6932967305183411,0.6772416830062866,15,,,,,,,,,,,,,,,
,,207,,,,,,,,15,0.8863921165466309,0.8695345520973206,0.8100000023841858,0.8058246374130249,0.8275954723358154,0.8057743310928345,,,,,,,,,
0.0001,0.0001,208,,,,,,,,,,,,,,,,,,,,,,,
,,220,1.2761844396591187,0.7467732429504395,0.7585645914077759,0.681969940662384,0.681969940662384,0.697306215763092,0.6756675243377686,16,,,,,,,,,,,,,,,
,,220,,,,,,,,16,0.8803099393844604,0.83915114402771,0.7912499904632568,0.792441725730896,0.8091225028038025,0.7886340022087097,,,,,,,,,
0.0001,0.0001,221,,,,,,,,,,,,,,,,,,,,,,,
