lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.6938557624816895,0.6087162494659424,0.6029763221740723,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.5030006766319275,0.5326181650161743,0.5142857432365417,0.5044498443603516,0.5051094889640808,0.492195188999176,,,,,,,,,
0.001,0.001,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.689993143081665,0.6615965366363525,0.6489541530609131,0.5559265613555908,0.5559265613555908,0.6165457367897034,0.4895513355731964,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.49552637338638306,0.5081735849380493,0.488571435213089,0.48666080832481384,0.4758797883987427,0.4229848086833954,,,,,,,,,
0.001,0.001,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.6870693564414978,0.697099506855011,0.6924370527267456,0.6176961660385132,0.6176961660385132,0.6506039500236511,0.5956055521965027,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.5465316772460938,0.5633952021598816,0.5242857336997986,0.5267366170883179,0.5273615121841431,0.5224838256835938,,,,,,,,,
0.001,0.001,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.6826701760292053,0.7249506115913391,0.7179794311523438,0.6218698024749756,0.6218698024749756,0.6660603284835815,0.5949207544326782,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.545444130897522,0.5543135404586792,0.5314285755157471,0.5290927290916443,0.5303624868392944,0.5252274870872498,,,,,,,,,
0.001,0.001,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.6795358657836914,,,,,,,,
,,54,0.6860782504081726,0.7290642857551575,0.7404087781906128,0.505008339881897,0.505008339881897,0.751258373260498,0.3443673849105835,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.5685448050498962,0.5338887572288513,0.5614285469055176,0.5444559454917908,0.5542733669281006,0.5307440161705017,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.6515657901763916,0.729515790939331,0.7472285032272339,0.6619365811347961,0.6619365215301514,0.6657623052597046,0.6599746346473694,5,,,,,,,,,,,,,,,
