lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.6909136176109314,0.6300609707832336,0.6138185858726501,0.5066778063774109,0.5066778063774109,0.701683521270752,0.34941738843917847,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5006500482559204,0.5038589835166931,0.5087500214576721,0.5082689523696899,0.5085870027542114,0.5039123892784119,,,,,,,,,
0.001,0.001,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6890703439712524,0.6593418121337891,0.6584595441818237,0.5025041699409485,0.5025041699409485,0.6506286859512329,0.3403278887271881,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.5488607883453369,0.5324685573577881,0.5425000190734863,0.5423660278320312,0.5423808097839355,0.5423598289489746,,,,,,,,,
0.001,0.001,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.666989803314209,0.6639028191566467,0.6736588478088379,0.5934891700744629,0.5934891700744629,0.6003854274749756,0.5863854885101318,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.6186163425445557,0.6208940744400024,0.5687500238418579,0.569287896156311,0.5850049257278442,0.5481032729148865,,,,,,,,,
0.001,0.001,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6664132475852966,,,,,,,,
,,51,0.6611019372940063,0.6613526344299316,0.6678100228309631,0.6202003359794617,0.6202003359794617,0.6407755613327026,0.6057964563369751,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.6816104650497437,0.6778756380081177,0.6237499713897705,0.6239570379257202,0.6274254322052002,0.6212496757507324,,,,,,,,,
0.001,0.001,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.6768718957901001,0.7067594528198242,0.7018661499023438,0.595158576965332,0.595158576965332,0.6829978227615356,0.5399527549743652,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.6745360493659973,0.6999759674072266,0.6512500047683716,0.6514630317687988,0.6512500047683716,0.6511273384094238,,,,,,,,,
0.001,0.001,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.6941531300544739,0.7293151617050171,0.7201064229011536,0.5609349012374878,0.5609349012374878,0.6841896772384644,0.47272539138793945,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.7150003910064697,0.7088203430175781,0.6775000095367432,0.6741768717765808,0.677121639251709,0.6744048595428467,,,,,,,,,
0.001,0.001,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.6821045279502869,0.7548863887786865,0.7346819043159485,0.6018363833427429,0.6018363833427429,0.7031389474868774,0.5451266765594482,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.716122567653656,0.7126131653785706,0.675000011920929,0.6724827885627747,0.6803274154663086,0.6704501509666443,,,,,,,,,
0.001,0.001,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.5874260663986206,,,,,,,,
,,103,0.752482533454895,0.7801706194877625,0.7582759857177734,0.6151919960975647,0.6151919364929199,0.7104515433311462,0.5660903453826904,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.7975987195968628,0.7791997194290161,0.7387499809265137,0.7376197576522827,0.7390962243080139,0.7378451824188232,,,,,,,,,
0.001,0.001,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,0.7551555633544922,0.7948222160339355,0.7743172645568848,0.6502504348754883,0.6502504348754883,0.7274683713912964,0.6178157329559326,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.8260023593902588,0.8072906732559204,0.7762500047683716,0.773423969745636,0.7764167785644531,0.7742660045623779,,,,,,,,,
0.001,0.001,117,,,,,,,,,,,,,,,,,,,,,,,
