lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.6928268074989319,0.5788376331329346,0.5726132988929749,0.5025041699409485,0.5025041699409485,0.6077725887298584,0.34177038073539734,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5455422401428223,0.5667533278465271,0.5475000143051147,0.5462436676025391,0.5463167428970337,0.5462493896484375,,,,,,,,,
0.001,0.001,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.6879158616065979,0.6168781518936157,0.6071758270263672,0.5358931422233582,0.5358931422233582,0.6103206276893616,0.44173523783683777,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.5901979804039001,0.5483461618423462,0.5375000238418579,0.5498110055923462,0.5975490212440491,0.48001208901405334,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.6850512623786926,0.6451960802078247,0.6364739537239075,0.5200333595275879,0.5200333595275879,0.663067102432251,0.385220468044281,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.6689770221710205,0.6286409497261047,0.6299999952316284,0.6278650760650635,0.6306905746459961,0.6269785165786743,,,,,,,,,
0.001,0.001,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6734751462936401,0.6699507236480713,0.6624666452407837,0.591819703578949,0.591819703578949,0.6163410544395447,0.569115161895752,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.7328726053237915,0.7059652805328369,0.5849999785423279,0.5963541269302368,0.6401515007019043,0.5549120903015137,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.6651014685630798,0.6644240617752075,0.6592658758163452,0.581803023815155,0.581803023815155,0.6057404279708862,0.5567154288291931,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.7782444953918457,0.7469669580459595,0.7149999737739563,0.7144678831100464,0.7248564958572388,0.7115092277526855,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.6725836992263794,0.6618738174438477,0.6527068614959717,0.6043405532836914,0.6043405532836914,0.6101890802383423,0.5990198850631714,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.8164499998092651,0.8185882568359375,0.7549999952316284,0.7549999952316284,0.7551020383834839,0.7549754977226257,,,,,,,,,
0.001,0.001,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,0.7354702949523926,0.6675065159797668,0.6554258465766907,0.600166916847229,0.600166916847229,0.6099889874458313,0.5910367965698242,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.8347628116607666,0.8029303550720215,0.762499988079071,0.7639844417572021,0.773809552192688,0.7606675624847412,,,,,,,,,
0.001,0.001,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.4154527485370636,,,,,,,,
,,55,0.7693504095077515,0.6841759085655212,0.6667357087135315,0.6252086758613586,0.6252087354660034,0.629496693611145,0.6220801472663879,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.8384771347045898,0.8091933131217957,0.7774999737739563,0.7776651382446289,0.7773527503013611,0.777387261390686,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,0.7509225606918335,0.7087271213531494,0.6858498454093933,0.6193656325340271,0.6193656325340271,0.6527401804924011,0.5973714590072632,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.8672029972076416,0.8573535680770874,0.7724999785423279,0.7747957110404968,0.7733593583106995,0.7723278403282166,,,,,,,,,
0.001,0.001,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.7828196883201599,0.7195687890052795,0.6952260136604309,0.6452420949935913,0.6452420949935913,0.6681281328201294,0.6327440738677979,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.9082474708557129,0.9000046849250793,0.8374999761581421,0.8371448516845703,0.836967408657074,0.8370508551597595,,,,,,,,,
0.001,0.001,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.7750327587127686,0.7334163188934326,0.7123491764068604,0.6686143279075623,0.668614387512207,0.6693321466445923,0.668262779712677,10,,,,,,,,,,,,,,,
,,76,,,,,,,,10,0.8965404033660889,0.8447304964065552,0.8500000238418579,0.8520202040672302,0.8488139510154724,0.8493635654449463,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,83,0.8921752572059631,0.7414583563804626,0.7213541269302368,0.6260433793067932,0.6260433793067932,0.6639418005943298,0.603105902671814,11,,,,,,,,,,,,,,,
,,83,,,,,,,,11,0.8975861072540283,0.8860878944396973,0.8525000214576721,0.8521634340286255,0.8523133993148804,0.8522330522537231,,,,,,,,,
0.0001,0.0001,84,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.8522120118141174,0.7414472103118896,0.7226294875144958,0.644407331943512,0.6444073915481567,0.6693799495697021,0.6307989954948425,12,,,,,,,,,,,,,,,
,,90,,,,,,,,12,0.941794216632843,0.9409693479537964,0.8725000023841858,0.8732123374938965,0.8801023960113525,0.871999979019165,,,,,,,,,
0.0001,0.0001,91,,,,,,,,,,,,,,,,,,,,,,,
,,97,0.8218045830726624,0.7416144609451294,0.7234450578689575,0.6669449210166931,0.6669448614120483,0.679259717464447,0.6611248850822449,13,,,,,,,,,,,,,,,
,,97,,,,,,,,13,0.9047618508338928,0.8882279396057129,0.8374999761581421,0.8344611525535583,0.8418376445770264,0.8357746601104736,,,,,,,,,
0.0001,0.0001,98,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,14,,,,,,,0.35691186785697937,,,,,,,,
,,104,0.8128555417060852,0.7417091727256775,0.7233394980430603,0.6744574308395386,0.6744574308395386,0.6845380663871765,0.6699500679969788,14,,,,,,,,,,,,,,,
,,104,,,,,,,,14,0.9049645066261292,0.8902339935302734,0.8299999833106995,0.8301471471786499,0.8298829793930054,0.8299319744110107,,,,,,,,,
0.0001,0.0001,105,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.8174949884414673,0.7413023114204407,0.7226182818412781,0.6669449210166931,0.6669449210166931,0.678925633430481,0.6612746715545654,15,,,,,,,,,,,,,,,
,,111,,,,,,,,15,0.9182356595993042,0.860273003578186,0.8600000143051147,0.8605121970176697,0.8579037189483643,0.858856737613678,,,,,,,,,
0.0001,0.0001,112,,,,,,,,,,,,,,,,,,,,,,,
,,118,0.8340574502944946,0.7414555549621582,0.72174072265625,0.6535893082618713,0.6535893082618713,0.673518180847168,0.6433488130569458,16,,,,,,,,,,,,,,,
,,118,,,,,,,,16,0.9366496801376343,0.9141644835472107,0.8824999928474426,0.8827030658721924,0.8825595378875732,0.8824933767318726,,,,,,,,,
0.0001,0.0001,119,,,,,,,,,,,,,,,,,,,,,,,
,,125,0.8309065699577332,0.7418304681777954,0.7221688628196716,0.6585976481437683,0.6585976481437683,0.6765481233596802,0.6496933698654175,17,,,,,,,,,,,,,,,
,,125,,,,,,,,17,0.9074937105178833,0.8824080228805542,0.8424999713897705,0.8392230272293091,0.8478450775146484,0.8406586050987244,,,,,,,,,
0.0001,0.0001,126,,,,,,,,,,,,,,,,,,,,,,,
,,132,0.8306455016136169,0.7416381239891052,0.7218220233917236,0.6594324111938477,0.6594324111938477,0.6760436296463013,0.6512044072151184,18,,,,,,,,,,,,,,,
,,132,,,,,,,,18,0.9257326126098633,0.9079704880714417,0.875,0.8766559362411499,0.875337541103363,0.8749217987060547,,,,,,,,,
0.0001,0.0001,133,,,,,,,,,,,,,,,,,,,,,,,
,,139,0.8186869621276855,0.741987943649292,0.7226592302322388,0.6677796244621277,0.6677796244621277,0.6790047883987427,0.6624884009361267,19,,,,,,,,,,,,,,,
,,139,,,,,,,,19,0.9028033018112183,0.8620599508285522,0.8349999785423279,0.8370835781097412,0.8351958990097046,0.8347976207733154,,,,,,,,,
0.0001,0.0001,140,,,,,,,,,,,,,,,,,,,,,,,
,,146,0.8128621578216553,0.7420575618743896,0.7229511737823486,0.6702837944030762,0.6702837944030762,0.6811964511871338,0.6652435660362244,20,,,,,,,,,,,,,,,
,,146,,,,,,,,20,0.8829880952835083,0.8433632254600525,0.8450000286102295,0.8458127975463867,0.8451211452484131,0.8449379801750183,,,,,,,,,
0.0001,0.0001,147,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,21,,,,,,,0.3730616569519043,,,,,,,,
,,153,0.805776834487915,0.7416952848434448,0.7228473424911499,0.6752921342849731,0.6752921342849731,0.6852686405181885,0.6708612442016602,21,,,,,,,,,,,,,,,
,,153,,,,,,,,21,0.8931151628494263,0.862723708152771,0.8550000190734863,0.8556804656982422,0.8545418381690979,0.8547676205635071,,,,,,,,,
0.0001,0.0001,154,,,,,,,,,,,,,,,,,,,,,,,
,,160,0.8098419308662415,0.7408647537231445,0.7217954397201538,0.6727879643440247,0.6727880239486694,0.6837015151977539,0.667854905128479,22,,,,,,,,,,,,,,,
,,160,,,,,,,,22,0.9182729721069336,0.8973978757858276,0.8600000143051147,0.8599715232849121,0.8600435256958008,0.8599859476089478,,,,,,,,,
0.0001,0.0001,161,,,,,,,,,,,,,,,,,,,,,,,
,,167,0.8160851001739502,0.7407058477401733,0.7212151288986206,0.6644407510757446,0.6644407510757446,0.679978609085083,0.6570385694503784,23,,,,,,,,,,,,,,,
,,167,,,,,,,,23,0.9095167517662048,0.8839073181152344,0.8600000143051147,0.8606177568435669,0.8598964810371399,0.8599124550819397,,,,,,,,,
1e-05,1e-05,168,,,,,,,,,,,,,,,,,,,,,,,
,,174,0.8166801333427429,0.7406863570213318,0.7210766077041626,0.6644407510757446,0.6644407510757446,0.679978609085083,0.6570385694503784,24,,,,,,,,,,,,,,,
,,174,,,,,,,,24,0.9067627191543579,0.8878941535949707,0.8525000214576721,0.8528911471366882,0.8529706001281738,0.8524991273880005,,,,,,,,,
1e-05,1e-05,175,,,,,,,,,,,,,,,,,,,,,,,
,,181,0.8172124028205872,0.7406696081161499,0.7211345434188843,0.6644407510757446,0.6644407510757446,0.679978609085083,0.6570385694503784,25,,,,,,,,,,,,,,,
,,181,,,,,,,,25,0.9146365523338318,0.9015195965766907,0.8650000095367432,0.8644109964370728,0.8648133277893066,0.8645904064178467,,,,,,,,,
1e-05,1e-05,182,,,,,,,,,,,,,,,,,,,,,,,
,,188,0.8175555467605591,0.7406333684921265,0.7211495637893677,0.6636059880256653,0.6636060476303101,0.6792581081390381,0.6560990214347839,26,,,,,,,,,,,,,,,
,,188,,,,,,,,26,0.9045882821083069,0.8530074954032898,0.8274999856948853,0.8289754986763,0.827157735824585,0.8271878957748413,,,,,,,,,
1e-05,1e-05,189,,,,,,,,,,,,,,,,,,,,,,,
,,195,0.81663978099823,0.740707278251648,0.7216054201126099,0.6644407510757446,0.6644407510757446,0.679978609085083,0.6570385694503784,27,,,,,,,,,,,,,,,
,,195,,,,,,,,27,0.908383846282959,0.854864239692688,0.8500000238418579,0.8540403842926025,0.8505350351333618,0.84969562292099,,,,,,,,,
1e-05,1e-05,196,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,28,,,,,,,0.26374351978302,,,,,,,,
,,202,0.815719723701477,0.7407936453819275,0.7218551635742188,0.6644407510757446,0.6644407510757446,0.679978609085083,0.6570385694503784,28,,,,,,,,,,,,,,,
,,202,,,,,,,,28,0.9389001727104187,0.9246839880943298,0.8924999833106995,0.8929814100265503,0.8925000429153442,0.8924670815467834,,,,,,,,,
1e-05,1e-05,203,,,,,,,,,,,,,,,,,,,,,,,
,,209,0.8153258562088013,0.740835428237915,0.7219112515449524,0.6661101579666138,0.6661101579666138,0.6814184188842773,0.6589149236679077,29,,,,,,,,,,,,,,,
,,209,,,,,,,,29,0.8898502588272095,0.8509693145751953,0.8675000071525574,0.8669075965881348,0.8698205351829529,0.8671337962150574,,,,,,,,,
1e-05,1e-05,210,,,,,,,,,,,,,,,,,,,,,,,
,,216,0.8150579929351807,0.7408646941184998,0.722132682800293,0.6661101579666138,0.6661101579666138,0.6814184188842773,0.6589149236679077,30,,,,,,,,,,,,,,,
,,216,,,,,,,,30,0.9183173179626465,0.8958551287651062,0.8700000047683716,0.8706482648849487,0.8714285492897034,0.8699707388877869,,,,,,,,,
1e-05,1e-05,217,,,,,,,,,,,,,,,,,,,,,,,
,,223,0.8152649998664856,0.7409093379974365,0.7222570776939392,0.6661101579666138,0.6661101579666138,0.6814184188842773,0.6589149236679077,31,,,,,,,,,,,,,,,
,,223,,,,,,,,31,0.918311595916748,0.9169801473617554,0.8774999976158142,0.8762779235839844,0.8758689165115356,0.8760678172111511,,,,,,,,,
1e-05,1e-05,224,,,,,,,,,,,,,,,,,,,,,,,
,,230,0.8161144852638245,0.7409566640853882,0.7222626805305481,0.6644407510757446,0.6644407510757446,0.679978609085083,0.6570385694503784,32,,,,,,,,,,,,,,,
,,230,,,,,,,,32,0.9385292530059814,0.9142031669616699,0.8774999976158142,0.8777498602867126,0.8765664100646973,0.8770196437835693,,,,,,,,,
1e-05,1e-05,231,,,,,,,,,,,,,,,,,,,,,,,
,,237,0.8173484206199646,0.740990161895752,0.7222833633422852,0.6636059880256653,0.6636060476303101,0.6792581081390381,0.6560990214347839,33,,,,,,,,,,,,,,,
