lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.691723108291626,0.6130751371383667,0.5917145013809204,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.50370192527771,0.4937191307544708,0.5149999856948853,0.506169855594635,0.5076556205749512,0.48509371280670166,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6789008378982544,0.6293014287948608,0.6137161254882812,0.600166916847229,0.600166916847229,0.6003708839416504,0.5999637842178345,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.5879254341125488,0.5633665919303894,0.5569999814033508,0.5564609169960022,0.5608996152877808,0.5485262870788574,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6585428714752197,0.6520076990127563,0.6354711055755615,0.6076794862747192,0.6076794862747192,0.6080697774887085,0.6073248386383057,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.6699039936065674,0.639738917350769,0.6119999885559082,0.6110844612121582,0.6120728254318237,0.6106903553009033,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6319578886032104,,,,,,,,
,,63,0.654204785823822,0.6900454163551331,0.6699612140655518,0.6427379250526428,0.642737865447998,0.6433146595954895,0.6423780918121338,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.7415883541107178,0.7100421190261841,0.6899999976158142,0.6831735968589783,0.6911419630050659,0.6834356784820557,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.8031149506568909,0.7252683639526367,0.7017103433609009,0.6569282412528992,0.6569281816482544,0.6664124727249146,0.6519694328308105,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.7982093691825867,0.7184851169586182,0.7360000014305115,0.7387502193450928,0.7408934831619263,0.7357621788978577,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,1.0482642650604248,0.7414499521255493,0.7161878347396851,0.6777963042259216,0.6777963042259216,0.6857566833496094,0.6743070483207703,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.870992124080658,0.8337936997413635,0.828000009059906,0.8228550553321838,0.8358668684959412,0.8248550891876221,,,,,,,,,
0.001,0.001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.34147167205810547,,,,,,,,
,,111,1.1088449954986572,0.7423836588859558,0.7136520147323608,0.6894824504852295,0.6894824504852295,0.6931012272834778,0.6880208253860474,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.8771899938583374,0.8216733932495117,0.8349999785423279,0.8321199417114258,0.8444331884384155,0.832865834236145,,,,,,,,,
0.001,0.001,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,1.5855906009674072,0.7496355772018433,0.7263501286506653,0.6752921342849731,0.6752921342849731,0.6916502118110657,0.6682122945785522,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.9013856649398804,0.8346869945526123,0.8640000224113464,0.8647593259811401,0.8775172233581543,0.8629385828971863,,,,,,,,,
0.001,0.001,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,1.3958314657211304,0.7406027317047119,0.7097314596176147,0.6861435770988464,0.6861435770988464,0.6933964490890503,0.6831731200218201,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.8861724734306335,0.8145666122436523,0.8700000047683716,0.8673080205917358,0.8785582184791565,0.8685227632522583,,,,,,,,,
0.001,0.001,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.33061233162879944,,,,,,,,
,,159,1.7590450048446655,0.7442008256912231,0.717658281326294,0.6828047037124634,0.6828047037124634,0.6924350261688232,0.6787859201431274,9,,,,,,,,,,,,,,,
,,159,,,,,,,,9,0.9009996056556702,0.8254387378692627,0.8669999837875366,0.8668214678764343,0.8791029453277588,0.8658894300460815,,,,,,,,,
0.001,0.001,160,,,,,,,,,,,,,,,,,,,,,,,
,,175,2.066838026046753,0.7410876750946045,0.7166767716407776,0.6585976481437683,0.6585977077484131,0.6815545558929443,0.6474531292915344,10,,,,,,,,,,,,,,,
,,175,,,,,,,,10,0.924673318862915,0.8730549812316895,0.8960000276565552,0.895588219165802,0.9037145376205444,0.8954273462295532,,,,,,,,,
0.001,0.001,176,,,,,,,,,,,,,,,,,,,,,,,
,,191,1.8269456624984741,0.7420074343681335,0.6999311447143555,0.678631067276001,0.678631067276001,0.6873188018798828,0.6748610734939575,11,,,,,,,,,,,,,,,
,,191,,,,,,,,11,0.8955734372138977,0.8437221050262451,0.8610000014305115,0.8588505983352661,0.8711744546890259,0.8594504594802856,,,,,,,,,
0.0001,0.0001,192,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,12,,,,,,,0.2570258378982544,,,,,,,,
,,207,1.9977911710739136,0.7403421401977539,0.702800989151001,0.6777963042259216,0.6777963042259216,0.6922041177749634,0.6716428995132446,12,,,,,,,,,,,,,,,
,,207,,,,,,,,12,0.9224089980125427,0.8589329719543457,0.8799999952316284,0.8817927241325378,0.892188310623169,0.879374623298645,,,,,,,,,
0.0001,0.0001,208,,,,,,,,,,,,,,,,,,,,,,,
,,223,2.0678908824920654,0.7392258644104004,0.7043378353118896,0.6719532608985901,0.6719532012939453,0.6900849342346191,0.6639392971992493,13,,,,,,,,,,,,,,,
,,223,,,,,,,,13,0.9363657236099243,0.8796485662460327,0.9079999923706055,0.9083206653594971,0.9125986695289612,0.907787561416626,,,,,,,,,
0.0001,0.0001,224,,,,,,,,,,,,,,,,,,,,,,,
,,239,1.938912034034729,0.739421010017395,0.700585126876831,0.6744574308395386,0.6744574308395386,0.6864643096923828,0.6691311001777649,14,,,,,,,,,,,,,,,
