lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.6925850510597229,0.5454151630401611,0.530595064163208,0.5400667786598206,0.5400667786598206,0.5414915680885315,0.5360841751098633,0,,,,,,,,,,,,,,,
,,1,,,,,,,,0,0.45736435055732727,0.4414421319961548,0.4300000071525574,0.5,nan,0.30069929361343384,,,,,,,,,
0.001,0.001,2,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.6922339797019958,0.5603328943252563,0.5402206182479858,0.5091819763183594,0.5091819763183594,0.5235697031021118,0.4207896888256073,1,,,,,,,,,,,,,,,
,,3,,,,,,,,1,0.545976996421814,0.6159861087799072,0.5699999928474426,0.5110837817192078,0.5238726735115051,0.46081507205963135,,,,,,,,,
0.001,0.001,4,,,,,,,,,,,,,,,,,,,,,,,
,,5,0.6916049718856812,0.5702032446861267,0.5536791086196899,0.5409014821052551,0.5409014821052551,0.5505777597427368,0.5178403854370117,2,,,,,,,,,,,,,,,
,,5,,,,,,,,2,0.48701298236846924,0.5632400512695312,0.5299999713897705,0.5024350881576538,0.5030441284179688,0.4868435263633728,,,,,,,,,
0.001,0.001,6,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6911308765411377,0.5879833102226257,0.5695374608039856,0.510016679763794,0.510016679763794,0.5543557405471802,0.3844972848892212,3,,,,,,,,,,,,,,,
,,7,,,,,,,,3,0.4949999749660492,0.38518938422203064,0.47999998927116394,0.5249999761581421,0.5297619104385376,0.47240257263183594,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.6903905868530273,0.6104526519775391,0.5940025448799133,0.5058430433273315,0.5058431029319763,0.5714918971061707,0.35859814286231995,4,,,,,,,,,,,,,,,
,,9,,,,,,,,4,0.5483092069625854,0.600326657295227,0.550000011920929,0.5479066371917725,0.5477719902992249,0.5477840900421143,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.6889495849609375,0.6303800940513611,0.6152942180633545,0.5258764624595642,0.5258764624595642,0.6026172637939453,0.4168517589569092,5,,,,,,,,,,,,,,,
,,11,,,,,,,,5,0.5853365659713745,0.563023567199707,0.5600000023841858,0.5568910241127014,0.5582922697067261,0.5555555820465088,,,,,,,,,
0.001,0.001,12,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.6874160170555115,0.6413722038269043,0.62711101770401,0.600166916847229,0.600166916847229,0.6090545058250427,0.5918512940406799,6,,,,,,,,,,,,,,,
,,13,,,,,,,,6,0.5838433504104614,0.6202357411384583,0.5699999928474426,0.5542635917663574,0.5564516186714172,0.5538956522941589,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6860836148262024,0.650212824344635,0.6359138488769531,0.6026711463928223,0.6026711463928223,0.6039329171180725,0.6014615297317505,7,,,,,,,,,,,,,,,
,,15,,,,,,,,7,0.6085736751556396,0.6569023132324219,0.5600000023841858,0.552884578704834,0.560661792755127,0.5416666269302368,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,17,0.6843083500862122,0.6586687564849854,0.6415655016899109,0.6026711463928223,0.6026710867881775,0.6144276857376099,0.5921964645385742,8,,,,,,,,,,,,,,,
,,17,,,,,,,,8,0.6297208070755005,0.5693619251251221,0.550000011920929,0.5825123190879822,0.5939691066741943,0.5444883108139038,,,,,,,,,
0.001,0.001,18,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.682539165019989,0.6648156046867371,0.6461565494537354,0.5717862844467163,0.5717862844467163,0.6232203841209412,0.5218941569328308,9,,,,,,,,,,,,,,,
,,19,,,,,,,,9,0.5060876607894897,0.614024817943573,0.5199999809265137,0.5032467842102051,0.5034722089767456,0.5,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.6791918277740479,0.670062243938446,0.6505587100982666,0.5893155336380005,0.5893155336380005,0.6407047510147095,0.5480493307113647,10,,,,,,,,,,,,,,,
,,21,,,,,,,,10,0.6942777037620544,0.6854909658432007,0.6399999856948853,0.6394557952880859,0.6399036645889282,0.6394230723381042,,,,,,,,,
0.001,0.001,22,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.6745995879173279,0.6720466613769531,0.654288649559021,0.600166916847229,0.600166916847229,0.6352266669273376,0.5724549293518066,11,,,,,,,,,,,,,,,
,,23,,,,,,,,11,0.8147258758544922,0.7976330518722534,0.7400000095367432,0.7394958138465881,0.7402649521827698,0.7395833730697632,,,,,,,,,
0.0001,0.0001,24,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6744018197059631,0.6718264222145081,0.6542549133300781,0.6010016798973083,0.6010016798973083,0.6420505046844482,0.5699321031570435,12,,,,,,,,,,,,,,,
,,25,,,,,,,,12,0.6969314813613892,0.5394251346588135,0.6700000166893005,0.6786465048789978,0.6699999570846558,0.6659581065177917,,,,,,,,,
0.0001,0.0001,26,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6741626262664795,0.6718125343322754,0.6542510986328125,0.6010016798973083,0.6010016798973083,0.6465732455253601,0.5673744082450867,13,,,,,,,,,,,,,,,
,,27,,,,,,,,13,0.770432710647583,0.7770212888717651,0.6299999952316284,0.6330127716064453,0.6354548931121826,0.6290726661682129,,,,,,,,,
0.0001,0.0001,28,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6737298965454102,0.6717650890350342,0.6544269323348999,0.600166916847229,0.600166916847229,0.6465551257133484,0.5658090114593506,14,,,,,,,,,,,,,,,
,,29,,,,,,,,14,0.7628204822540283,0.8005657196044922,0.6800000071525574,0.682692289352417,0.6850649118423462,0.6794872283935547,,,,,,,,,
0.0001,0.0001,30,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6730166077613831,0.6717079877853394,0.6545157432556152,0.5993322134017944,0.5993322134017944,0.6390029788017273,0.5685486793518066,15,,,,,,,,,,,,,,,
,,31,,,,,,,,15,0.7249589562416077,0.794275164604187,0.6200000047683716,0.6198686361312866,0.6169872283935547,0.616161584854126,,,,,,,,,
0.0001,0.0001,32,,,,,,,,,,,,,,,,,,,,,,,
,,33,0.671985387802124,0.6718877553939819,0.6548064947128296,0.6043405532836914,0.6043405532836914,0.6357134580612183,0.5800718665122986,16,,,,,,,,,,,,,,,
,,33,,,,,,,,16,0.6314934492111206,0.7218835353851318,0.6200000047683716,0.6217532157897949,0.6200000047683716,0.6186270713806152,,,,,,,,,
0.0001,0.0001,34,,,,,,,,,,,,,,,,,,,,,,,
,,35,0.6707346439361572,0.6720438599586487,0.6551015973091125,0.6185308694839478,0.6185308694839478,0.6405304074287415,0.602993369102478,17,,,,,,,,,,,,,,,
,,35,,,,,,,,17,0.7574999928474426,0.8447864651679993,0.6700000166893005,0.6875,0.6818181872367859,0.6691729426383972,,,,,,,,,
0.0001,0.0001,36,,,,,,,,,,,,,,,,,,,,,,,
,,37,0.6695979237556458,0.672254204750061,0.6557340621948242,0.6235392093658447,0.6235392093658447,0.636879563331604,0.6141376495361328,18,,,,,,,,,,,,,,,
,,37,,,,,,,,18,0.6558623313903809,0.658149242401123,0.6200000047683716,0.6206482648849487,0.6210356950759888,0.6198479533195496,,,,,,,,,
0.0001,0.0001,38,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6686354875564575,0.6724730730056763,0.6560012698173523,0.6218698024749756,0.6218698024749756,0.6292352676391602,0.6164042949676514,19,,,,,,,,,,,,,,,
,,39,,,,,,,,19,0.7212120890617371,0.7633180618286133,0.6700000166893005,0.6616162061691284,0.6666666269302368,0.6624040603637695,,,,,,,,,
0.0001,0.0001,40,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.6677359342575073,0.6727684736251831,0.6563594937324524,0.6227045059204102,0.6227045059204102,0.6263687610626221,0.619949460029602,20,,,,,,,,,,,,,,,
,,41,,,,,,,,20,0.7371175289154053,0.7764115929603577,0.6600000262260437,0.6545893549919128,0.6576354503631592,0.6550325155258179,,,,,,,,,
0.0001,0.0001,42,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.6669750213623047,0.6728715896606445,0.6570359468460083,0.6218698024749756,0.6218698024749756,0.6230636835098267,0.62095046043396,21,,,,,,,,,,,,,,,
,,43,,,,,,,,21,0.7403846979141235,0.7123077511787415,0.6600000262260437,0.6634615659713745,0.6674876809120178,0.6587715744972229,,,,,,,,,
0.0001,0.0001,44,,,,,,,,,,,,,,,,,,,,,,,
,,45,0.6662604212760925,0.6731196641921997,0.6575307846069336,0.6218698024749756,0.6218698024749756,0.6225010752677917,0.6213819980621338,22,,,,,,,,,,,,,,,
,,45,,,,,,,,22,0.6768366098403931,0.672461986541748,0.5899999737739563,0.6011642217636108,0.6158088445663452,0.5805627107620239,,,,,,,,,
0.0001,0.0001,46,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6655313968658447,0.6734373569488525,0.6579161286354065,0.6218698024749756,0.6218698024749756,0.6225614547729492,0.621335506439209,23,,,,,,,,,,,,,,,
,,47,,,,,,,,23,0.7028000354766846,0.700049102306366,0.6499999761581421,0.6499999761581421,0.6576292514801025,0.6457130908966064,,,,,,,,,
1e-05,1e-05,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,24,,,,,,,0.6259419918060303,,,,,,,,
,,49,0.6654571294784546,0.6734442710876465,0.6579811573028564,0.6243739724159241,0.6243739128112793,0.6252466440200806,0.6237185001373291,24,,,,,,,,,,,,,,,
,,49,,,,,,,,24,0.7737374305725098,0.7526323795318604,0.6600000262260437,0.6686868667602539,0.6703386306762695,0.6598639488220215,,,,,,,,,
1e-05,1e-05,50,,,,,,,,,,,,,,,,,,,,,,,
,,51,0.6653838753700256,0.6734429597854614,0.658008337020874,0.6235392093658447,0.6235392093658447,0.6244413256645203,0.6228557825088501,25,,,,,,,,,,,,,,,
,,51,,,,,,,,25,0.7699718475341797,0.8044663667678833,0.6800000071525574,0.6764351725578308,0.6793146133422852,0.6767677068710327,,,,,,,,,
1e-05,1e-05,52,,,,,,,,,,,,,,,,,,,,,,,
,,53,0.6653106808662415,0.6734373569488525,0.658029317855835,0.6235392093658447,0.6235392093658447,0.6244413256645203,0.6228557825088501,26,,,,,,,,,,,,,,,
,,53,,,,,,,,26,0.7971189022064209,0.7731539607048035,0.7699999809265137,0.7681072354316711,0.7791666984558105,0.7671829462051392,,,,,,,,,
1e-05,1e-05,54,,,,,,,,,,,,,,,,,,,,,,,
,,55,0.6652382612228394,0.6734304428100586,0.6580361723899841,0.6235392093658447,0.6235392093658447,0.6245140433311462,0.6228009462356567,27,,,,,,,,,,,,,,,
,,55,,,,,,,,27,0.7760416269302368,0.8009651899337769,0.6899999976158142,0.6915063858032227,0.6918908357620239,0.6899689435958862,,,,,,,,,
1e-05,1e-05,56,,,,,,,,,,,,,,,,,,,,,,,
,,57,0.6651634573936462,0.6734234690666199,0.6580113172531128,0.6235392093658447,0.6235392093658447,0.6245896220207214,0.622744083404541,28,,,,,,,,,,,,,,,
,,57,,,,,,,,28,0.8075230121612549,0.7917187213897705,0.75,0.7501000165939331,0.75,0.7499749660491943,,,,,,,,,
1e-05,1e-05,58,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.6650823950767517,0.6733872294425964,0.6580135226249695,0.6227045059204102,0.6227045059204102,0.6237099170684814,0.6219363808631897,29,,,,,,,,,,,,,,,
,,59,,,,,,,,29,0.8045833110809326,0.8323808908462524,0.7599999904632568,0.7458333373069763,0.7504244446754456,0.7477931976318359,,,,,,,,,
1e-05,1e-05,60,,,,,,,,,,,,,,,,,,,,,,,
,,61,0.6650025844573975,0.6733481884002686,0.6578704714775085,0.6235392093658447,0.6235392093658447,0.6245896220207214,0.622744083404541,30,,,,,,,,,,,,,,,
,,61,,,,,,,,30,0.7906403541564941,0.7745342254638672,0.6600000262260437,0.6839080452919006,0.6901527643203735,0.6594551205635071,,,,,,,,,
1e-05,1e-05,62,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.6649231314659119,0.673272967338562,0.6578199863433838,0.6235392093658447,0.6235392093658447,0.6245896220207214,0.622744083404541,31,,,,,,,,,,,,,,,
,,63,,,,,,,,31,0.7947179079055786,0.7514896392822266,0.7300000190734863,0.7280912399291992,0.7374999523162842,0.7266930341720581,,,,,,,,,
1e-05,1e-05,64,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.6648414134979248,0.6732923984527588,0.6578515768051147,0.6227045059204102,0.6227045059204102,0.623786449432373,0.6218782663345337,32,,,,,,,,,,,,,,,
,,65,,,,,,,,32,0.7078743577003479,0.7770693898200989,0.6600000262260437,0.6446348428726196,0.6520806550979614,0.6458333134651184,,,,,,,,,
1e-05,1e-05,66,,,,,,,,,,,,,,,,,,,,,,,
