lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.691020667552948,0.620714545249939,0.6122040748596191,0.5025041699409485,0.5025041699409485,0.5306394100189209,0.35426434874534607,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.513469398021698,0.5051920413970947,0.5080000162124634,0.5078831911087036,0.5078811645507812,0.5078740119934082,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6845236420631409,0.6695187091827393,0.654613733291626,0.5409014821052551,0.5409015417098999,0.6518306732177734,0.43830662965774536,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.6019856929779053,0.5335515737533569,0.5600000023841858,0.5574191808700562,0.5576303005218506,0.5574437975883484,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.6790293455123901,0.6848336458206177,0.6728610992431641,0.5559265613555908,0.5559265613555908,0.6539822220802307,0.47184431552886963,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.6999632120132446,0.6710104942321777,0.5839999914169312,0.5848093628883362,0.601349949836731,0.5666666626930237,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.64833664894104,0.69874107837677,0.6944139003753662,0.6302170157432556,0.6302170753479004,0.6429857015609741,0.6217731237411499,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.7895057201385498,0.7722007632255554,0.7319999933242798,0.732297420501709,0.7327145338058472,0.7319313883781433,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6649671196937561,0.7188720107078552,0.7103005647659302,0.581803023815155,0.581803023815155,0.647049069404602,0.5296264886856079,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.776038408279419,0.7581859827041626,0.7139999866485596,0.7123249769210815,0.7190245389938354,0.7112265825271606,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6410878300666809,0.743729829788208,0.737259566783905,0.6176961660385132,0.6176961660385132,0.6736403107643127,0.5842055678367615,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.7844153046607971,0.7280234098434448,0.7179999947547913,0.7170600891113281,0.7173424363136292,0.7171752452850342,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.5638606548309326,,,,,,,,
,,55,0.5902778506278992,0.7745658159255981,0.7680095434188843,0.686978280544281,0.6869783401489258,0.7066942453384399,0.679331362247467,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.835645318031311,0.8117662668228149,0.765999972820282,0.7663882970809937,0.7765798568725586,0.7639139890670776,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.7927630543708801,0.7719250917434692,0.7603843212127686,0.5684474110603333,0.5684474110603333,0.6870848536491394,0.48714184761047363,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.8654900789260864,0.8488537073135376,0.7979999780654907,0.7991111278533936,0.797747015953064,0.7977079153060913,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.6999294757843018,0.7688746452331543,0.7595582604408264,0.6602671146392822,0.6602671146392822,0.7022851705551147,0.6416587233543396,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.8775624632835388,0.8811944723129272,0.7879999876022339,0.7868710160255432,0.7871847748756409,0.7870151400566101,,,,,,,,,
0.001,0.001,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.6664304137229919,0.7757112979888916,0.7656335234642029,0.6894824504852295,0.6894824504852295,0.7052453756332397,0.6834038496017456,9,,,,,,,,,,,,,,,
,,79,,,,,,,,9,0.9044400453567505,0.8555015325546265,0.8399999737739563,0.8448800444602966,0.8448800444602966,0.8399999737739563,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.815342128276825,0.7760123014450073,0.7612030506134033,0.6318864822387695,0.6318864822387695,0.6929641962051392,0.600254237651825,10,,,,,,,,,,,,,,,
,,87,,,,,,,,10,0.9067821502685547,0.864112377166748,0.8399999737739563,0.8373323082923889,0.8396103382110596,0.8382505178451538,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.7443501353263855,0.7655469179153442,0.7524800896644592,0.6953255534172058,0.6953255534172058,0.7131011486053467,0.6888366937637329,11,,,,,,,,,,,,,,,
,,95,,,,,,,,11,0.9309052228927612,0.9283467531204224,0.8579999804496765,0.8565090894699097,0.8610016107559204,0.8572181463241577,,,,,,,,,
0.0001,0.0001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,12,,,,,,,0.545676052570343,,,,,,,,
,,103,0.763261616230011,0.7664945125579834,0.7529270052909851,0.678631067276001,0.678631067276001,0.703935980796814,0.6683428287506104,12,,,,,,,,,,,,,,,
,,103,,,,,,,,12,0.9219839572906494,0.8875308632850647,0.8519999980926514,0.8519999980926514,0.8520225286483765,0.8519976139068604,,,,,,,,,
0.0001,0.0001,104,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.7884283661842346,0.7675508260726929,0.753250241279602,0.6652754545211792,0.6652754545211792,0.6978335380554199,0.650912880897522,13,,,,,,,,,,,,,,,
,,111,,,,,,,,13,0.954006016254425,0.9493955969810486,0.8899999856948853,0.8875328302383423,0.8943696022033691,0.8890193700790405,,,,,,,,,
0.0001,0.0001,112,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.8096728920936584,0.76784348487854,0.7528068423271179,0.6544240117073059,0.6544240117073059,0.6930729746818542,0.636218786239624,14,,,,,,,,,,,,,,,
,,119,,,,,,,,14,0.9339381456375122,0.9308514595031738,0.878000020980835,0.8759936094284058,0.8793991804122925,0.8770909309387207,,,,,,,,,
0.0001,0.0001,120,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.8057828545570374,0.768044114112854,0.7528072595596313,0.6569282412528992,0.6569281816482544,0.6937044262886047,0.6398331522941589,15,,,,,,,,,,,,,,,
,,127,,,,,,,,15,0.9129154682159424,0.8869090676307678,0.8740000128746033,0.8746299743652344,0.8780602216720581,0.8737773299217224,,,,,,,,,
0.0001,0.0001,128,,,,,,,,,,,,,,,,,,,,,,,
,,135,0.786058247089386,0.7684677243232727,0.7537930607795715,0.6686143279075623,0.668614387512207,0.7011804580688477,0.6546379327774048,16,,,,,,,,,,,,,,,
,,135,,,,,,,,16,0.9178614616394043,0.9077250957489014,0.8679999709129333,0.8669636249542236,0.8690923452377319,0.8675230741500854,,,,,,,,,
0.0001,0.0001,136,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.7931274175643921,0.7693595886230469,0.7543782591819763,0.6677796244621277,0.6677796244621277,0.7005065679550171,0.6536465883255005,17,,,,,,,,,,,,,,,
,,143,,,,,,,,17,0.941548228263855,0.9199973344802856,0.8960000276565552,0.895801305770874,0.8970210552215576,0.895893394947052,,,,,,,,,
0.0001,0.0001,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,18,,,,,,,0.24398529529571533,,,,,,,,
,,151,0.7927809357643127,0.7702124714851379,0.7549894452095032,0.673622727394104,0.673622727394104,0.7039549350738525,0.6610193848609924,18,,,,,,,,,,,,,,,
,,151,,,,,,,,18,0.9332382082939148,0.9049390554428101,0.8859999775886536,0.8829463124275208,0.892624020576477,0.8847045302391052,,,,,,,,,
0.0001,0.0001,152,,,,,,,,,,,,,,,,,,,,,,,
