lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.6820878982543945,0.6841424703598022,0.676334023475647,0.644407331943512,0.6444073915481567,0.6513170003890991,0.6403011083602905,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5847647190093994,0.5636084079742432,0.5587499737739563,0.5575932264328003,0.5608783960342407,0.5521661043167114,,,,,,,,,
0.001,0.001,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6505743861198425,0.6924033164978027,0.679478108882904,0.6268781423568726,0.6268781423568726,0.6433411836624146,0.6158479452133179,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.7349125742912292,0.7241250276565552,0.6725000143051147,0.6727935075759888,0.6728713512420654,0.6724917888641357,,,,,,,,,
0.001,0.001,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.685450553894043,0.6929426193237305,0.6744819283485413,0.6135225296020508,0.6135225296020508,0.63103848695755,0.6001608967781067,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.8320364356040955,0.8216612935066223,0.7537500262260437,0.7537640929222107,0.7537878751754761,0.753746509552002,,,,,,,,,
0.001,0.001,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.49791112542152405,,,,,,,,
,,51,0.6727675199508667,0.7282392978668213,0.7044251561164856,0.6602671146392822,0.6602671146392822,0.6616297960281372,0.6595495343208313,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.8274840116500854,0.791573166847229,0.7662500143051147,0.7663962244987488,0.7667079567909241,0.7662057876586914,,,,,,,,,
0.001,0.001,52,,,,,,,,,,,,,,,,,,,,,,,
