lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.713053822517395,0.6630531549453735,0.5512449145317078,0.3885480463504791,0.5008347034454346,0.6939610838890076,0.2811651825904846,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.46911191940307617,0.5091724991798401,0.4880000054836273,0.48791074752807617,0.4879459738731384,0.4875982403755188,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6729843020439148,0.7064236402511597,0.5878725051879883,0.6717791557312012,0.620125412940979,0.6548433303833008,0.6200047731399536,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.5550781488418579,0.551811933517456,0.5270000100135803,0.5288153886795044,0.530358612537384,0.5217270851135254,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6321948170661926,0.7292585372924805,0.6245055198669434,0.6860940456390381,0.6313270330429077,0.6776419281959534,0.6313081979751587,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.6294838190078735,0.6075200438499451,0.5960000157356262,0.5931172370910645,0.6017560958862305,0.5859230160713196,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6517704725265503,,,,,,,,
,,63,0.6165652275085449,0.7704617977142334,0.673497200012207,0.6584867238998413,0.6867998838424683,0.682478666305542,0.658206582069397,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.6599391102790833,0.6663979291915894,0.6269999742507935,0.6278436183929443,0.6273327469825745,0.6267278790473938,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.5399978756904602,0.7909356355667114,0.706392228603363,0.719836413860321,0.711687445640564,0.706790566444397,0.7086057662963867,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.7307727336883545,0.7197092771530151,0.6660000085830688,0.6655945777893066,0.6673945188522339,0.6649492979049683,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.5554071068763733,0.7989921569824219,0.7185786366462708,0.7065439820289612,0.7163411974906921,0.7054153680801392,0.7024295330047607,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.772527813911438,0.7719852924346924,0.7039999961853027,0.7042173147201538,0.705215573310852,0.703696608543396,,,,,,,,,
0.001,0.001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.5666875243186951,,,,,,,,
,,111,0.5412249565124512,0.8021152019500732,0.7119568586349487,0.7229039072990417,0.7074081301689148,0.7080211639404297,0.7077071666717529,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.7930887341499329,0.7794671058654785,0.7289999723434448,0.7289116382598877,0.7293933629989624,0.7288305163383484,,,,,,,,,
0.001,0.001,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.5450694561004639,0.8066390156745911,0.7223247289657593,0.719836413860321,0.7238008975982666,0.7133899331092834,0.7138029336929321,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.7861585021018982,0.7654882669448853,0.7059999704360962,0.7051620483398438,0.706830620765686,0.7050751447677612,,,,,,,,,
0.001,0.001,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.5480046272277832,0.804233968257904,0.7282230257987976,0.7126789093017578,0.7165042161941528,0.7063780426979065,0.7065800428390503,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.7880333662033081,0.7586882710456848,0.7139999866485596,0.7141696214675903,0.7140737175941467,0.7139816880226135,,,,,,,,,
0.001,0.001,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.5917842388153076,,,,,,,,
,,159,0.5161667466163635,0.8112993836402893,0.7357196807861328,0.7423312664031982,0.7334431409835815,0.7294012308120728,0.7310853004455566,9,,,,,,,,,,,,,,,
,,159,,,,,,,,9,0.7598313093185425,0.7422881722450256,0.6840000152587891,0.6839165687561035,0.6840757131576538,0.6838976144790649,,,,,,,,,
0.001,0.001,160,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.5450901389122009,0.8069517612457275,0.7287403345108032,0.7218813896179199,0.7240167260169983,0.714113712310791,0.7151814103126526,10,,,,,,,,,,,,,,,
,,175,,,,,,,,10,0.780678927898407,0.7697807550430298,0.6959999799728394,0.694862961769104,0.695135235786438,0.694973886013031,,,,,,,,,
0.001,0.001,176,,,,,,,,,,,,,,,,,,,,,,,
,,191,0.5399639010429382,0.8048946857452393,0.7284814119338989,0.7208588719367981,0.7217283844947815,0.7123063802719116,0.7136667966842651,11,,,,,,,,,,,,,,,
,,191,,,,,,,,11,0.8144681453704834,0.7937912940979004,0.7300000190734863,0.7301586866378784,0.7304426431655884,0.7299470901489258,,,,,,,,,
0.0001,0.0001,192,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,12,,,,,,,0.5344187617301941,,,,,,,,
,,207,0.5410450100898743,0.8050312995910645,0.7288796901702881,0.719836413860321,0.7194401025772095,0.7105370759963989,0.7121317386627197,12,,,,,,,,,,,,,,,
,,207,,,,,,,,12,0.7916339635848999,0.7733774781227112,0.7229999899864197,0.7240762710571289,0.7310389280319214,0.7211705446243286,,,,,,,,,
0.0001,0.0001,208,,,,,,,,,,,,,,,,,,,,,,,
,,223,0.5441169738769531,0.8048286437988281,0.7283666133880615,0.7249488830566406,0.7163456678390503,0.7117975354194641,0.7135615348815918,13,,,,,,,,,,,,,,,
,,223,,,,,,,,13,0.835667610168457,0.8034934997558594,0.7450000047683716,0.746029257774353,0.7454121112823486,0.7449079155921936,,,,,,,,,
0.0001,0.0001,224,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.5469143390655518,0.804617166519165,0.7285351753234863,0.731083869934082,0.7165086269378662,0.7167195677757263,0.7166132926940918,14,,,,,,,,,,,,,,,
