lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.675594687461853,0.6777060031890869,0.5605798959732056,0.6124744415283203,0.5,nan,0.3798351287841797,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.514907717704773,0.48805707693099976,0.5009999871253967,0.5002442002296448,0.5002447366714478,0.5001598000526428,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.678804874420166,0.7318662405014038,0.6302021741867065,0.6482617855072021,0.6644010543823242,0.6568403244018555,0.6461247801780701,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.5613610148429871,0.5485430955886841,0.5339999794960022,0.5344005823135376,0.5358333587646484,0.5294811129570007,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6298342943191528,0.7460631132125854,0.6396244168281555,0.6237218976020813,0.5149964094161987,0.7713830471038818,0.41296517848968506,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.5932149887084961,0.5364129543304443,0.5529999732971191,0.5415642261505127,0.5468519926071167,0.5333907604217529,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6592254638671875,,,,,,,,
,,63,0.592079222202301,0.7382136583328247,0.6289259791374207,0.6901840567588806,0.6492020487785339,0.6740596294403076,0.6527782082557678,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.6754852533340454,0.6471807956695557,0.6340000033378601,0.6337685585021973,0.6342432498931885,0.6335763931274414,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.582849383354187,0.7817074060440063,0.6668158173561096,0.699386477470398,0.6315186619758606,0.7225763201713562,0.6256717443466187,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.7328760027885437,0.694269061088562,0.6869999766349792,0.6869999766349792,0.6902146339416504,0.6856719255447388,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.543671190738678,0.7964153289794922,0.6967645883560181,0.731083869934082,0.7029415369033813,0.7181109189987183,0.707629919052124,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.7089715600013733,0.6615152359008789,0.6690000295639038,0.6667267084121704,0.6763142347335815,0.6635737419128418,,,,,,,,,
0.001,0.001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.563021719455719,,,,,,,,
,,111,0.521730899810791,0.8170477151870728,0.7292847633361816,0.7515337467193604,0.7535536289215088,0.7429678440093994,0.7449612617492676,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.7394110560417175,0.6725096702575684,0.7319999933242798,0.7265224456787109,0.7472407221794128,0.7244057059288025,,,,,,,,,
0.001,0.001,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.5523565411567688,0.8145854473114014,0.7233214378356934,0.7556236982345581,0.7239440679550171,0.7490301132202148,0.730797290802002,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.7334704399108887,0.6621806621551514,0.6959999799728394,0.6999071836471558,0.7219555974006653,0.6893787980079651,,,,,,,,,
0.001,0.001,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.5539089441299438,0.8212896585464478,0.7237459421157837,0.7535787224769592,0.7387487888336182,0.7404316663742065,0.7395472526550293,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.7566345930099487,0.6978679299354553,0.7379999756813049,0.7322115302085876,0.7561383247375488,0.7298200130462646,,,,,,,,,
0.001,0.001,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.5042177438735962,,,,,,,,
,,159,0.5175260305404663,0.8233643770217896,0.7353754043579102,0.7566462159156799,0.7567582130432129,0.7470051050186157,0.749427318572998,9,,,,,,,,,,,,,,,
,,159,,,,,,,,9,0.7325739860534668,0.6562711000442505,0.6980000138282776,0.7011398673057556,0.7146555185317993,0.6940234899520874,,,,,,,,,
0.001,0.001,160,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.5193111896514893,0.8252672553062439,0.7331586480140686,0.765848696231842,0.7516727447509766,0.7534466981887817,0.7525159120559692,10,,,,,,,,,,,,,,,
,,175,,,,,,,,10,0.763821542263031,0.703892171382904,0.7170000076293945,0.7197079062461853,0.7358067035675049,0.7127950191497803,,,,,,,,,
0.001,0.001,176,,,,,,,,,,,,,,,,,,,,,,,
,,191,0.5294678211212158,0.8247915506362915,0.7412941455841064,0.7668711543083191,0.766074538230896,0.7567378282546997,0.7594304084777832,11,,,,,,,,,,,,,,,
,,191,,,,,,,,11,0.7580833435058594,0.685774564743042,0.7160000205039978,0.7151377201080322,0.734883725643158,0.7096399664878845,,,,,,,,,
0.0001,0.0001,192,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,12,,,,,,,0.5498117804527283,,,,,,,,
,,207,0.5292323231697083,0.8249149322509766,0.741994321346283,0.7617586851119995,0.7681998610496521,0.7556558847427368,0.7567015886306763,12,,,,,,,,,,,,,,,
,,207,,,,,,,,12,0.7447010278701782,0.7024703025817871,0.7059999704360962,0.6956888437271118,0.7172559499740601,0.6942545175552368,,,,,,,,,
0.0001,0.0001,208,,,,,,,,,,,,,,,,,,,,,,,
,,223,0.5267125964164734,0.8260293006896973,0.7426267266273499,0.7699386477470398,0.7729395031929016,0.7615443468093872,0.7638530731201172,13,,,,,,,,,,,,,,,
,,223,,,,,,,,13,0.7651768922805786,0.6961072683334351,0.6890000104904175,0.6947532296180725,0.7120611667633057,0.6840634942054749,,,,,,,,,
0.0001,0.0001,224,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.5279041528701782,0.8262759447097778,0.7428233623504639,0.765848696231842,0.7633016109466553,0.7550563216209412,0.7577329874038696,14,,,,,,,,,,,,,,,
,,239,,,,,,,,14,0.7522497773170471,0.6688382625579834,0.7149999737739563,0.7187274694442749,0.7336288094520569,0.7113137245178223,,,,,,,,,
0.0001,0.0001,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,15,,,,,,,0.5469131469726562,,,,,,,,
,,255,0.5280987024307251,0.8261659145355225,0.7440282702445984,0.7668711543083191,0.7655899524688721,0.7565450668334961,0.7592506408691406,15,,,,,,,,,,,,,,,
,,255,,,,,,,,15,0.7412230968475342,0.6859368681907654,0.6990000009536743,0.6949754953384399,0.7113715410232544,0.691590428352356,,,,,,,,,
0.0001,0.0001,256,,,,,,,,,,,,,,,,,,,,,,,
,,271,0.530911386013031,0.825289249420166,0.7450570464134216,0.7494887709617615,0.7610903978347778,0.7479295134544373,0.7458513975143433,16,,,,,,,,,,,,,,,
,,271,,,,,,,,16,0.7379926443099976,0.7084602117538452,0.722000002861023,0.711750328540802,0.7462186813354492,0.7081291675567627,,,,,,,,,
0.0001,0.0001,272,,,,,,,,,,,,,,,,,,,,,,,
,,287,0.5272497534751892,0.8260248899459839,0.7440308332443237,0.7607361674308777,0.7639733552932739,0.7526614665985107,0.7546527981758118,17,,,,,,,,,,,,,,,
,,287,,,,,,,,17,0.7626579403877258,0.6744966506958008,0.7129999995231628,0.7181270122528076,0.7491825819015503,0.7051665782928467,,,,,,,,,
0.0001,0.0001,288,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,18,,,,,,,0.6860297918319702,,,,,,,,
,,303,0.5277010202407837,0.8264962434768677,0.7444611191749573,0.7678936719894409,0.7678782939910889,0.7580801248550415,0.7607495784759521,18,,,,,,,,,,,,,,,
,,303,,,,,,,,18,0.7662075757980347,0.7017345428466797,0.7329999804496765,0.7322163581848145,0.7496044635772705,0.7280435562133789,,,,,,,,,
0.0001,0.0001,304,,,,,,,,,,,,,,,,,,,,,,,
,,319,0.5259788036346436,0.8267517685890198,0.7437388896942139,0.7668711543083191,0.7670435905456543,0.757148265838623,0.7597827911376953,19,,,,,,,,,,,,,,,
,,319,,,,,,,,19,0.746246337890625,0.6578074097633362,0.7120000123977661,0.7142679691314697,0.7383265495300293,0.7051886916160583,,,,,,,,,
0.0001,0.0001,320,,,,,,,,,,,,,,,,,,,,,,,
,,335,0.5263388156890869,0.827002763748169,0.743767499923706,0.7668711543083191,0.7675281167030334,0.7573659420013428,0.7599555253982544,20,,,,,,,,,,,,,,,
,,335,,,,,,,,20,0.7392878532409668,0.6651605367660522,0.7049999833106995,0.7056232690811157,0.7274808883666992,0.697928786277771,,,,,,,,,
0.0001,0.0001,336,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,21,,,,,,,0.6065680384635925,,,,,,,,
,,351,0.5288945436477661,0.8274036645889282,0.7438993453979492,0.7678936719894409,0.7654556035995483,0.7571428418159485,0.759848952293396,21,,,,,,,,,,,,,,,
,,351,,,,,,,,21,0.7824525237083435,0.6973810195922852,0.7400000095367432,0.744873046875,0.7638226747512817,0.7363286018371582,,,,,,,,,
0.0001,0.0001,352,,,,,,,,,,,,,,,,,,,,,,,
,,367,0.5303834676742554,0.8275225758552551,0.7436155080795288,0.7709611654281616,0.7679597735404968,0.7600379586219788,0.7627447843551636,22,,,,,,,,,,,,,,,
,,367,,,,,,,,22,0.7423478960990906,0.6705105900764465,0.7070000171661377,0.7063913345336914,0.7277098298072815,0.6997873783111572,,,,,,,,,
0.0001,0.0001,368,,,,,,,,,,,,,,,,,,,,,,,
,,383,0.5315396189689636,0.8275578022003174,0.7422559261322021,0.765848696231842,0.762332558631897,0.754734992980957,0.7573529481887817,23,,,,,,,,,,,,,,,
,,383,,,,,,,,23,0.7837334871292114,0.7397668957710266,0.7250000238418579,0.7216286659240723,0.7516688108444214,0.7154713869094849,,,,,,,,,
1e-05,1e-05,384,,,,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,,24,,,,,,,0.5604048371315002,,,,,,,,
,,399,0.5314770936965942,0.8275489807128906,0.742283821105957,0.765848696231842,0.762332558631897,0.754734992980957,0.7573529481887817,24,,,,,,,,,,,,,,,
,,399,,,,,,,,24,0.7637150287628174,0.7183701992034912,0.7080000042915344,0.708314836025238,0.7310994863510132,0.7007166147232056,,,,,,,,,
1e-05,1e-05,400,,,,,,,,,,,,,,,,,,,,,,,
,,415,0.5309674739837646,0.8275622129440308,0.742212176322937,0.7668711543083191,0.7641363143920898,0.756016731262207,0.7586972713470459,25,,,,,,,,,,,,,,,
,,415,,,,,,,,25,0.7572096586227417,0.6963568329811096,0.7129999995231628,0.7116811275482178,0.7280386686325073,0.7073456048965454,,,,,,,,,
1e-05,1e-05,416,,,,,,,,,,,,,,,,,,,,,,,
,,431,0.5304269790649414,0.8275710344314575,0.7422468066215515,0.7678936719894409,0.7654556035995483,0.7571428418159485,0.759848952293396,26,,,,,,,,,,,,,,,
,,431,,,,,,,,26,0.7726372480392456,0.6981563568115234,0.7450000047683716,0.7436443567276001,0.763708233833313,0.7396766543388367,,,,,,,,,
1e-05,1e-05,432,,,,,,,,,,,,,,,,,,,,,,,
,,447,0.5297272205352783,0.8276282548904419,0.7424572110176086,0.768916130065918,0.7667748928070068,0.7582698464393616,0.7609990835189819,27,,,,,,,,,,,,,,,
