lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.7215287685394287,0.5525193810462952,0.46233195066452026,0.38957056403160095,0.5016694664955139,0.6941598653793335,0.2830325961112976,0,,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.46044689416885376,0.4934541583061218,0.5199999809265137,0.499194860458374,0.4989035129547119,0.47252750396728516,,,,,,,,,
0.001,0.001,4,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.7092583179473877,0.5946102142333984,0.47267165780067444,0.3936605453491211,0.5045238137245178,0.6323453783988953,0.29173970222473145,1,,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.5922330021858215,0.517340362071991,0.6100000143051147,0.6183565258979797,0.6695340871810913,0.5817245841026306,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.7063416838645935,0.6076926589012146,0.4776175022125244,0.39263802766799927,0.502235472202301,0.5404543876647949,0.2937237620353699,2,,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.6590726971626282,0.5823352336883545,0.6100000143051147,0.6206343173980713,0.6359113454818726,0.6022031903266907,,,,,,,,,
0.001,0.001,12,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6930012106895447,0.612872838973999,0.48791933059692383,0.4918200373649597,0.558976948261261,0.583017110824585,0.47617852687835693,3,,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.7064706087112427,0.6496806144714355,0.6399999856948853,0.6384638547897339,0.6531696319580078,0.6305419206619263,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.692772626876831,0.624241828918457,0.5023036599159241,0.4918200373649597,0.5599460005760193,0.5855739712715149,0.47540509700775146,4,,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.666464626789093,0.5692119002342224,0.6150000095367432,0.6126262545585632,0.6120490431785583,0.6121981143951416,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.7197586297988892,0.6248651146888733,0.5157976150512695,0.3905930519104004,0.501050591468811,0.5273478031158447,0.2888001501560211,5,,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.7169924974441528,0.7219184041023254,0.6449999809265137,0.6423559188842773,0.6440746784210205,0.6424164772033691,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.7340610027313232,0.6114280223846436,0.4993085563182831,0.3905930519104004,0.5015351176261902,0.5512726306915283,0.28751009702682495,6,,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.7047370672225952,0.6459240317344666,0.6449999809265137,0.6542553305625916,0.6678130626678467,0.6402422189712524,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.7471131086349487,0.6145708560943604,0.4997600317001343,0.3885480463504791,0.49986565113067627,0.49373072385787964,0.2838130295276642,7,,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.7786999940872192,0.7444250583648682,0.6850000023841858,0.6850000023841858,0.7269660234451294,0.6697334051132202,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,35,0.7290066480636597,0.6195770502090454,0.5047118663787842,0.38957056403160095,0.5002158284187317,0.5063143968582153,0.28696221113204956,8,,,,,,,,,,,,,,,
,,35,,,,,,,,8,0.7095739245414734,0.6663964986801147,0.6549999713897705,0.6649122834205627,0.6922627687454224,0.6453444957733154,,,,,,,,,
0.001,0.001,36,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6939920783042908,0.6090626120567322,0.49257633090019226,0.5020449757575989,0.5653859972953796,0.5868070125579834,0.4898846745491028,9,,,,,,,,,,,,,,,
,,39,,,,,,,,9,0.7287000417709351,0.6716077327728271,0.6650000214576721,0.6649999618530273,0.6663473844528198,0.6643202304840088,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.6767802238464355,0.6172512769699097,0.4942038059234619,0.6022495031356812,0.5827456712722778,0.5822057723999023,0.5824434757232666,10,,,,,,,,,,,,,,,
,,43,,,,,,,,10,0.7295730113983154,0.7146095037460327,0.6650000214576721,0.6662166118621826,0.6763582229614258,0.660510241985321,,,,,,,,,
0.001,0.001,44,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.7024098038673401,0.6408746838569641,0.5207270383834839,0.47239264845848083,0.5537769794464111,0.599941074848175,0.44093236327171326,11,,,,,,,,,,,,,,,
,,47,,,,,,,,11,0.7168867588043213,0.6857469081878662,0.6000000238418579,0.5960384011268616,0.6142857074737549,0.5815461874008179,,,,,,,,,
0.0001,0.0001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,12,,,,,,,0.58758544921875,,,,,,,,
,,51,0.7060109376907349,0.6441474556922913,0.527263879776001,0.45910021662712097,0.5448637008666992,0.5948747992515564,0.4203064441680908,12,,,,,,,,,,,,,,,
,,51,,,,,,,,12,0.7897467017173767,0.7060583829879761,0.7099999785423279,0.7129487991333008,0.7093709707260132,0.7085720300674438,,,,,,,,,
0.0001,0.0001,52,,,,,,,,,,,,,,,,,,,,,,,
,,55,0.7057517170906067,0.645341157913208,0.5291265249252319,0.4621676802635193,0.5463987588882446,0.5937269330024719,0.4258410930633545,13,,,,,,,,,,,,,,,
,,55,,,,,,,,13,0.7488721609115601,0.6899547576904297,0.699999988079071,0.6967418193817139,0.7007672786712646,0.696969747543335,,,,,,,,,
0.0001,0.0001,56,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.7084434628486633,0.6437069773674011,0.5266081690788269,0.45807769894599915,0.5440289378166199,0.5937444567680359,0.41888052225112915,14,,,,,,,,,,,,,,,
