lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6821906566619873,0.5825583934783936,0.43776172399520874,0.6094069480895996,0.4974958300590515,0.3056410253047943,0.3786531090736389,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.5082972049713135,0.49285292625427246,0.5080000162124634,0.506152868270874,0.5067967772483826,0.4950738847255707,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6807636618614197,0.6335867643356323,0.4849218726158142,0.6104294657707214,0.4997841417789459,0.4936855733394623,0.3863370418548584,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.5646725296974182,0.5495109558105469,0.5419999957084656,0.5368574261665344,0.562959611415863,0.4860284924507141,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.6818678379058838,0.6810294985771179,0.5359991788864136,0.627811849117279,0.5566136837005615,0.5948965549468994,0.5375886559486389,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.5482071042060852,0.5234940052032471,0.5419999957084656,0.5298768281936646,0.5401759743690491,0.503639280796051,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6974238157272339,0.6987547278404236,0.5660834312438965,0.4161554276943207,0.5224032402038574,0.6680100560188293,0.3320719003677368,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.5156082510948181,0.49323052167892456,0.5180000066757202,0.5179523229598999,0.5179623365402222,0.5179054737091064,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.7000077962875366,0.7236819267272949,0.6034043431282043,0.41820040345191956,0.5250417590141296,0.6998945474624634,0.3333013653755188,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.5697706341743469,0.5931662321090698,0.5540000200271606,0.536761999130249,0.5495923757553101,0.5130472779273987,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6633260250091553,0.7512345314025879,0.6498286724090576,0.6748466491699219,0.6783513426780701,0.669735312461853,0.6686257719993591,5,,,,,,,,,,,,,,,
