lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.6721019148826599,0.6215724349021912,0.5217583775520325,0.6124744415283203,0.5,nan,0.3798351287841797,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.5008403658866882,0.47508877515792847,0.5271428823471069,0.5116093158721924,0.5149140357971191,0.48996102809906006,,,,,,,,,
0.001,0.001,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.676810085773468,0.6423062086105347,0.5314197540283203,0.626789391040802,0.5257377028465271,0.6421793103218079,0.4495103061199188,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.5751361846923828,0.5674965977668762,0.5442857146263123,0.5364717245101929,0.5941717624664307,0.4567425549030304,,,,,,,,,
0.001,0.001,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.6517578959465027,0.6774439215660095,0.5784024000167847,0.6656441688537598,0.6180243492126465,0.6449640989303589,0.6187497973442078,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.7074509859085083,0.6845791339874268,0.6485714316368103,0.6437908411026001,0.6628122329711914,0.6360177993774414,,,,,,,,,
0.001,0.001,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.6303587555885315,0.6995916366577148,0.6005680561065674,0.6237218976020813,0.6400068998336792,0.6338176727294922,0.6217843294143677,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.7792973518371582,0.7605947256088257,0.6857143044471741,0.6828431487083435,0.6912428140640259,0.6811224222183228,,,,,,,,,
0.001,0.001,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.5249514579772949,,,,,,,,
,,54,0.6236768960952759,0.7313640713691711,0.6260437965393066,0.6451942920684814,0.6609278917312622,0.6534835696220398,0.6429811716079712,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.8052147626876831,0.8133540153503418,0.7314285635948181,0.731418251991272,0.7314333319664001,0.7314198017120361,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.6165617108345032,0.7616211175918579,0.6571704149246216,0.6820040941238403,0.6895242929458618,0.6799949407577515,0.6772253513336182,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.8567136526107788,0.8484581708908081,0.7599999904632568,0.7597962617874146,0.7612292766571045,0.759615421295166,,,,,,,,,
0.001,0.001,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.6500822901725769,0.7755714058876038,0.6654521822929382,0.6820040941238403,0.7064831256866455,0.6991333961486816,0.6812038421630859,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.8708856105804443,0.8422960042953491,0.7900000214576721,0.7901482582092285,0.7908248901367188,0.7899035215377808,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.6735973954200745,0.7763422727584839,0.6678242683410645,0.6779140830039978,0.7031441926956177,0.6963337063789368,0.6772307753562927,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.8912920951843262,0.8682105541229248,0.7985714077949524,0.7981833219528198,0.7993050217628479,0.7982712984085083,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,0.7815402746200562,0.7728337645530701,0.6586243510246277,0.6298568248748779,0.6706956624984741,0.6765275001525879,0.6295082569122314,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.915573239326477,0.9125165939331055,0.8371428847312927,0.8373429775238037,0.8369463682174683,0.837035059928894,,,,,,,,,
0.001,0.001,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.37791797518730164,,,,,,,,
,,109,0.8482592701911926,0.7757916450500488,0.6675748825073242,0.6002045273780823,0.6498804092407227,0.6654703617095947,0.5979645848274231,9,,,,,,,,,,,,,,,
