lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.6722573637962341,0.6525871753692627,0.5320041179656982,0.6124744415283203,0.5,nan,0.3798351287841797,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5301873683929443,0.49869632720947266,0.5149999856948853,0.5177397727966309,0.5196536779403687,0.5042135715484619,,,,,,,,,
0.001,0.001,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6877788305282593,0.6915175318717957,0.5767899751663208,0.5143149495124817,0.5846089124679565,0.6225374937057495,0.4978679418563843,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.5357822775840759,0.5595108270645142,0.5287500023841858,0.5244390964508057,0.5256116390228271,0.520806610584259,,,,,,,,,
0.001,0.001,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.6784974336624146,0.6954951286315918,0.5927115082740784,0.5449897646903992,0.598990797996521,0.6159884929656982,0.5398863554000854,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.677811861038208,0.6443655490875244,0.6212499737739563,0.6191728115081787,0.6235734820365906,0.6169254779815674,,,,,,,,,
0.001,0.001,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.5887333750724792,,,,,,,,
,,51,0.6506016850471497,0.7179511785507202,0.6151831150054932,0.615541934967041,0.6454424858093262,0.6438608169555664,0.6154839992523193,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.7547409534454346,0.7293310165405273,0.6962500214576721,0.6959695219993591,0.6959388256072998,0.6959530711174011,,,,,,,,,
0.001,0.001,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.7498522400856018,0.7498909831047058,0.6258602738380432,0.5899795293807983,0.647347629070282,0.6741949319839478,0.5850121974945068,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.7873009443283081,0.7617616653442383,0.7225000262260437,0.7222031354904175,0.722125232219696,0.7221596240997314,,,,,,,,,
0.001,0.001,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.7937836647033691,0.754472017288208,0.6374999284744263,0.5736196041107178,0.633507490158081,0.663162112236023,0.5669915676116943,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.8119749426841736,0.7949284315109253,0.7574999928474426,0.7576257586479187,0.7577030658721924,0.7574939727783203,,,,,,,,,
0.001,0.001,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.7767589688301086,0.7659952044487,0.6514594554901123,0.6012269854545593,0.6560450792312622,0.6793650984764099,0.5975087881088257,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.8492032289505005,0.830154299736023,0.7799999713897705,0.779116690158844,0.7802951335906982,0.7793919444084167,,,,,,,,,
0.001,0.001,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.5233726501464844,,,,,,,,
,,103,0.7411785125732422,0.7689772844314575,0.6501519680023193,0.6349693536758423,0.6787455677986145,0.6875878572463989,0.634326696395874,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.8457908630371094,0.8114713430404663,0.7762500047683716,0.7764901518821716,0.7769627571105957,0.7761908769607544,,,,,,,,,
0.001,0.001,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,0.6957678198814392,0.7754348516464233,0.6478707194328308,0.626789391040802,0.6764286160469055,0.6927552223205566,0.6250295639038086,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.8518171310424805,0.8168922662734985,0.8025000095367432,0.8015204668045044,0.8060203790664673,0.8015275001525879,,,,,,,,,
0.001,0.001,117,,,,,,,,,,,,,,,,,,,,,,,
